country,countrycode,year
Armenia,ARM,1993
Armenia,ARM,1992
Armenia,ARM,1991
Armenia,ARM,1990
Croatia,HRV,1993
Croatia,HRV,1992
Croatia,HRV,1991
Croatia,HRV,1990
Czech Republic,CZE,1993
Czech Republic,CZE,1992
Czech Republic,CZE,1991
Czech Republic,CZE,1990
Estonia,EST,1993
Estonia,EST,1992
Estonia,EST,1991
Estonia,EST,1990
Kazakhstan,KAZ,1993
Kazakhstan,KAZ,1992
Kazakhstan,KAZ,1991
Kazakhstan,KAZ,1990
Kyrgyzstan,KGZ,1993
Kyrgyzstan,KGZ,1992
Kyrgyzstan,KGZ,1991
Kyrgyzstan,KGZ,1990
Latvia,LVA,1993
Latvia,LVA,1992
Latvia,LVA,1991
Latvia,LVA,1990
Lithuania,LTU,1993
Lithuania,LTU,1992
Lithuania,LTU,1991
Lithuania,LTU,1990
Republic of Moldova,MDA,1993
Republic of Moldova,MDA,1992
Republic of Moldova,MDA,1991
Republic of Moldova,MDA,1990
Russian Federation,RUS,1993
Russian Federation,RUS,1992
Russian Federation,RUS,1991
Russian Federation,RUS,1990
Serbia,SRB,1993
Serbia,SRB,1992
Serbia,SRB,1991
Serbia,SRB,1990
Slovakia,SVK,1993
Slovakia,SVK,1992
Slovakia,SVK,1991
Slovakia,SVK,1990
Slovenia,SVN,1993
Slovenia,SVN,1992
Slovenia,SVN,1991
Slovenia,SVN,1990
Tajikistan,TJK,1993
Tajikistan,TJK,1992
Tajikistan,TJK,1991
Tajikistan,TJK,1990
Ukraine,UKR,1993
Ukraine,UKR,1992
Ukraine,UKR,1991
Ukraine,UKR,1990
