alpha3,pseudoYear,lrgdpnaPerCapita_chg7_temp,lrgdpnaPerCapita_chg7_subRegionMean,country,year,gini_disp,gini_mkt,region,subRegion,lcgdpoPerCapitaUSA,isExtrapolated,lrtfpna,lrgdpnaPerCapita,lrgdpoPerCapita,lcgdpoPerCapita,lrgdpnaPerCapita_chg7,lrtfpna_chg7,lrgdpnaPerCapita_chg1,lrtfpna_chg1,lrgdpnaPerCapita_chg7_nonTFP,lrgdpnaPerCapita_chg1_nonTFP,lcgdpoPerCapita_gap,lcgdpoPerCapita_gap_avg7,subRegion_new,isLAC,isAfrica,isEAT,gini_disp_chg1,gini_mkt_chg1,lcgdpoPerCapita_gap_chg1,countryLAC,hasGiniDisp,hasGiniMkt,resid,cumulativeTFP,cumulativeNonTFP,post1990,cumulativeTFP1990,cumulativeNonTFP1990,lag_lcgdpoPerCapita_gap_avg7
ARG,1968,1.53485121239915,2.21334453490361,Argentina,1968,35.7,36.9,Americas,Latin America and the Caribbean,10.0479275800112,0,0.127115244913762,9.25931789664112,8.09850873203853,8.10969787499773,1.53485121239915,0.519678747085439,3.62375391519105,1.9876004385341,1.01517246531371,1.63615347665695,-1.93822970501347,-1.90470417085383,Latin America and the Caribbean,1,0,0,0,0.100000000000001,-2.1338979778859,ARG,1,1,0.0540016457553047,0.0649598433856798,0.126896558164213,0,0,0,
ARG,1975,2.09492916303614,2.90745528768185,Argentina,1975,35.8,37.1,Americas,Latin America and the Caribbean,10.1461448672235,0,0.0851417100909561,9.40596293805365,8.24295622634912,8.24005235974117,2.09492916303614,-0.599621926040084,-2.22879159012113,-3.88683581010809,2.69455108907622,1.65804421998696,-1.90609250748233,-1.8956633421156,Latin America and the Caribbean,1,0,0,0.299999999999997,0.200000000000003,-1.86244540294691,ARG,1,1,0.41318293696285,-0.00999289736933071,0.463715444298741,0,0,0,-1.90470417085383
ARG,1982,-1.18504517465886,0.991049822835318,Argentina,1982,38.7,39.3,Americas,Latin America and the Caribbean,10.2652426692819,0,-0.115246999391508,9.32300977582753,8.31324110281228,8.31037376743079,-1.18504517465886,-2.86269584974949,-4.77868735032203,-4.69219707364208,1.67765067509062,-0.0864902766799514,-1.95486890185111,-1.98734926460658,Latin America and the Caribbean,1,0,0,0.400000000000006,0.399999999999999,6.50018068916882,ARG,1,1,0.337593446061724,-0.367829878588017,0.673421778685069,0,0,0,-1.8956633421156
ARG,1989,-1.67405913164598,-0.305011859435522,Argentina,1989,41.8,41.8,Americas,Latin America and the Caribbean,10.4961554218642,0,-0.222889354913724,9.20582563661231,8.52092625073725,8.5106746659662,-1.67405913164598,-1.53774793603166,-8.72973708602203,-7.5687208177921,-0.136311195614327,-1.16101626822993,-1.985480755898,-1.94759070465496,Latin America and the Caribbean,1,0,0,0.399999999999999,0.299999999999997,-7.69553194400316,ARG,1,1,0.246931260514204,-0.560048370591974,0.656382879233278,0,0,0,-1.98734926460658
ARG,1996,3.33385715184372,1.82195560854994,Argentina,1996,44.2,43.9,Americas,Latin America and the Caribbean,10.6043368118321,0,-0.0386415618935088,9.43919563724137,9.53310987072316,9.52055520847061,3.33385715184372,2.63211132886022,4.17258415916599,2.5636767165154,0.7017458229835,1.60890744265059,-1.08378160336149,-1.49691744042628,Latin America and the Caribbean,1,0,0,0.5,0.299999999999997,21.4981158371598,ARG,1,1,0.406410906089121,-0.231034454484447,0.744101107106216,1,0.658027832215054,0.175436455745875,-1.94759070465496
ARG,2003,-1.15397707858172,1.02765215189455,Argentina,2003,45.5,44.7,Americas,Latin America and the Caribbean,10.7573169934013,0,-0.149503224129866,9.35841724174065,9.2824173044519,9.27465286814201,-1.15397707858172,-1.58373803194796,7.36575333678005,6.0924018579498,0.429760953366237,1.27335147883025,-1.48266412525929,-1.30219216143466,Latin America and the Caribbean,1,0,0,-0.399999999999999,-0.299999999999997,4.38825792655493,ARG,1,1,-0.432880060692361,-0.429001708477942,0.797821226276995,1,0.262093324228064,0.282876694087434,-1.49691744042628
ARG,2010,4.81140522694185,3.08085845835385,Argentina,2010,40,40.8,Americas,Latin America and the Caribbean,10.811535892488,0,-0.0139945295732118,9.69521560762658,9.67039834474786,9.66860208965499,4.81140522694185,1.93583849366649,8.60992038454889,6.26640851838214,2.87556673327536,2.34351186616675,-1.14293380283301,-1.278532829826,Latin America and the Caribbean,1,0,0,-0.600000000000001,-0.5,8.56163039479299,ARG,1,1,-0.565218389779943,-0.18702189676963,1.15726706793642,1,0.746052947644686,1.00176837740627,-1.30219216143466
ARG,2017,0.16836944723987,1.14522738743662,Argentina,2017,37.4,38.8,Americas,Latin America and the Caribbean,10.9076320435205,0,-0.0772875466885145,9.70700146893337,9.70909737273413,9.71450334914932,0.16836944723987,-0.904185958790038,1.86221244049403,1.06459381899233,1.07255540602991,0.797618621501696,-1.19312869437118,-1.14669118022614,Latin America and the Caribbean,1,0,0,-0.100000000000001,-0.100000000000001,1.00664544196594,ARG,1,1,-0.101406068838595,-0.300045141618385,1.29133649369015,1,0.520006457947177,1.26990722891375,-1.278532829826
AUS,1968,3.66122048462128,3.76954995574092,Australia,1968,27.2,39.3,Oceania,Australia and New Zealand,10.0479275800112,0,-0.0988357615023997,9.95986128176202,9.80468664979571,9.81296145038817,3.66122048462128,1.54298354622403,5.00722579071002,3.12416724907723,2.11823693839724,1.88305854163279,-0.234966129623029,-0.232514500329019,Others,0,0,0,-0.100000000000001,-0.100000000000001,1.83202270645708,nonLAC,1,1,-0.114614741450674,0.192872943278004,0.264779617299655,0,0,0,
AUS,1975,1.90037260573972,3.43927560609104,Australia,1975,25.2,38.2,Oceania,Australia and New Zealand,10.1461448672235,0,-0.0833002208129605,10.0928873641638,9.88892123933116,9.91048505869442,1.90037260573972,0.221936295563417,1.3236747054,1.44905777296625,1.67843631017631,-0.125383067566248,-0.23565980852908,-0.212558473538596,Others,0,0,0,-0.800000000000001,-0.5,2.10461792350003,nonLAC,1,1,-0.755433450243049,0.220614980223431,0.474584156071694,0,0,0,-0.232514500329019
