alpha3,region,subRegion,country,year,cgdpo,ctfp,rtfpna,rgdpna,rgdpo,pop,rgdpnaPerCapita,rgdpoPerCapita,growth_rgdpnaPerCapita,growth_rgdpoPerCapita,growth_rtfpna,numComplete,numObs,noIncomplete,isLAC,growth_rgdpnaPerCapita_demeaned,growth_rgdpoPerCapita_demeaned,growth_rtfpna_demeaned
ARG,Americas,Latin America and the Caribbean,Argentina,1960,59204.45703125,0.625275671482086,1.10643196105957,191467.109375,58812.7734375,20.6252536773682,9283.13960982184,2851.49333712363,,,,12,12,1,1,,,
ARG,Americas,Latin America and the Caribbean,Argentina,1965,70786.2265625,0.608486831188202,1.13480174541473,225553.03125,70379.9921875,22.2930927276611,10117.6195696766,3157.03133016501,0.0173647658435461,0.0205664943190513,0.00507635598456346,12,12,1,1,0.00651953876218736,-0.0124358840564541,0.00785568259107727
ARG,Americas,Latin America and the Caribbean,Argentina,1970,87115.4453125,0.662790834903717,1.17282128334045,275319.78125,86579.46875,23.9730587005615,11484.5495807988,3611.53200479887,0.025668751473527,0.0272650560858929,0.00661261491339138,12,12,1,1,0.0148235243921683,-0.00573732228961252,0.00939194151990519
ARG,Americas,Latin America and the Caribbean,Argentina,1975,98787.0234375,0.647285163402557,1.08887135982513,316992.09375,99074.3046875,26.0669746398926,12160.6783345268,3800.75962232602,0.0115067069979864,0.0102661160613018,-0.0147443199817053,12,12,1,1,0.000661479916627683,-0.0227362623142036,-0.0119649933751915
ARG,Americas,Latin America and the Caribbean,Argentina,1980,111266.578125,0.639606535434723,1.00592458248138,354304.875,111813.9609375,28.1058883666992,12606.0728050067,3978.31086065157,0.00722014192263609,0.00917309227064367,-0.0157220199623009,12,12,1,1,-0.00362508515872262,-0.0238292861048618,-0.0129426933557871
ARG,Americas,Latin America and the Caribbean,Argentina,1985,133309.171875,0.637001931667328,0.838845074176788,320666.375,133327.234375,30.3887825012207,10552.129720469,4387.38321845057,-0.0349450068457086,0.0197679789921958,-0.0356753519307946,12,12,1,1,-0.0457902339270673,-0.0132343993833096,-0.0328960253242808
ARG,Americas,Latin America and the Caribbean,Argentina,1990,181573.5,0.593012928962708,0.784067809581757,316882.90625,181775.828125,32.7297401428223,9681.80330388274,5553.84269266385,-0.01706855968687,0.0482807264038718,-0.0134153069306394,12,12,1,1,-0.0279137867682288,0.0152783480283664,-0.0106359803241256
ARG,Americas,Latin America and the Caribbean,Argentina,1995,375316.5,0.679508686065674,0.937743961811066,421961.65625,378327.09375,34.994815826416,12057.8333185992,10810.9468450015,0.0448708279937915,0.142494272292518,0.0364446890744277,12,12,1,1,0.0340256009124328,0.109491893917012,0.0392240156809415
ARG,Americas,Latin America and the Caribbean,Argentina,2000,469033.5,0.701349794864655,0.903901696205139,479198,471358,37.0574531555176,12931.2178575513,12719.6544787325,0.0140842333056093,0.0330523177516699,-0.0073243132378219,12,12,1,1,0.00323900622425055,4.99393761645151e-05,-0.00454498663130809
ARG,Americas,Latin America and the Caribbean,Argentina,2005,488844.59375,0.717015326023102,0.932827234268188,527221.8125,489787.65625,39.1454887390137,13468.2649133603,12511.9821473033,0.0081715652779506,-0.00328691362617795,0.00631976599861717,12,12,1,1,-0.00267366180340811,-0.0362892920016834,0.00909909260513098
ARG,Americas,Latin America and the Caribbean,Argentina,2010,651882.75,0.795551478862763,0.986102938652039,669464.5625,653054.75,41.2238883972168,16239.7238234615,15841.658208159,0.0381339592183763,0.0483224939137819,0.0111700721445671,12,12,1,1,0.0272887321370175,0.0153201155382764,0.0139493987510809
ARG,Americas,Latin America and the Caribbean,Argentina,2015,715711,0.744578123092651,0.941023945808411,720347.5,712662.625,43.4177665710449,16591.0768077231,16414.0784126669,0.00429011239410126,0.00712452766581073,-0.00931477874395648,12,12,1,1,-0.00655511468725745,-0.0258778507096947,-0.00653545213744267
AUS,Oceania,Australia and New Zealand,Australia,1960,150608.6875,0.81752347946167,0.813860595226288,173703.546875,149499.453125,10.510835647583,16526.140518137,14223.365119345,,,,12,12,1,0,,,
AUS,Oceania,Australia and New Zealand,Australia,1965,185116.703125,0.851765394210815,0.855005264282227,217129.421875,184846.84375,11.6045093536377,18710.7800302592,15928.880585723,0.0251421498703079,0.0229080103434427,0.00991251340927612,12,12,1,0,0.00528224879325352,0.00175270736288051,0.00561298339229019
AUS,Oceania,Australia and New Zealand,Australia,1970,251669.8125,0.893891870975494,0.927989482879639,289769.09375,248831.390625,12.8429069519043,22562.578303741,19375.0053283773,0.038148227209468,0.0399472595802777,0.0165174846037344,12,12,1,0,0.0182883261324136,0.0187919565997155,0.0122179545867484
AUS,Oceania,Australia and New Zealand,Australia,1975,278566.59375,0.855068624019623,0.920074880123138,334306.90625,272623.9375,13.8312063217163,24170.4807573513,19710.7852459662,0.0138630893760632,0.00344233328673749,-0.00171160182581431,12,12,1,0,-0.00599681170099124,-0.0177129696938247,-0.00601113184280025
AUS,Oceania,Australia and New Zealand,Australia,1980,330956.125,0.880203485488892,0.913046956062317,387319.625,324801.15625,14.6491136550903,26439.7993024931,22172.068829375,0.0181096950949511,0.02381257240972,-0.00153237438943687,12,12,1,0,-0.00175020598210333,0.00265726942915782,-0.00583190440642281
AUS,Oceania,Australia and New Zealand,Australia,1985,384840.6875,0.86897224187851,0.944154739379883,447805.125,374576,15.729642868042,28468.8679048021,23813.3823598137,0.0148980279218855,0.0143853617630521,0.00672305127599748,12,12,1,0,-0.00496187315516887,-0.00676994121751014,0.00242352125901154
AUS,Oceania,Australia and New Zealand,Australia,1990,464219,0.837463796138763,0.921060860157013,523807.90625,457569.9375,17.041431427002,30737.3185459076,26850.4403201122,0.015451431418062,0.0242973882630946,-0.00494054654382603,12,12,1,0,-0.00440846965899237,0.00314208528253239,-0.00924007656081197
AUS,Oceania,Australia and New Zealand,Australia,1995,543640.4375,0.839296460151672,0.982618153095245,613845.0625,540244.3125,18.0767421722412,33957.7262678795,29886.1546705912,0.02012766410962,0.0216537314224921,0.0130229656173464,12,12,1,0,0.000267763032565552,0.000498428441929863,0.00872343560036045
AUS,Oceania,Australia and New Zealand,Australia,2000,680016.8125,0.873054265975952,1.0209983587265,742612.5,671467.1875,19.0658378601074,38949.9011503613,35218.3414349154,0.027811686278808,0.0333793337311745,0.0076925601804303,12,12,1,0,0.00795178520175362,0.0122240307506123,0.00339303016344436
AUS,Oceania,Australia and New Zealand,Australia,2005,831444.3125,0.88985675573349,1.02206587791443,877808.875,824074.0625,20.2389030456543,43372.3543721646,40717.3284362833,0.0217421918858376,0.0294424554667674,0.000209025410238484,12,12,1,0,0.00188229080878317,0.00828715248620519,-0.00409050460674746
AUS,Oceania,Australia and New Zealand,Australia,2010,992470.125,0.89704442024231,0.993141889572144,1006276.875,992193.25,22.1200637817383,45491.5901205834,44854.9000486666,0.00958670774023274,0.019544353207601,-0.00572508584596698,12,12,1,0,-0.0102731933368217,-0.00161094977296124,-0.0100246158629529
AUS,Oceania,Australia and New Zealand,Australia,2015,1081066.5,0.813126862049103,1.02903974056244,1158206.375,1066969.25,23.7995567321777,48665.0397750505,44831.4757290175,0.0135780409423625,-0.00010446668817532,0.00712683829486638,12,12,1,0,-0.00628186013469194,-0.0212597696687375,0.00282730827788044
AUT,Europe,Western Europe,Austria,1960,65232.3359375,0.700750291347504,0.554053902626038,81302.609375,63732.37109375,7.09382772445679,11461.0352172354,8984.20057115643,,,,12,12,1,0,,,
AUT,Europe,Western Europe,Austria,1965,80994.9296875,0.759285092353821,0.613963186740875,99180.6640625,77820.78125,7.31875038146973,13551.5844772647,10633.0694713996,0.0340778745788926,0.0342745599758996,0.0207468835816607,12,12,1,0,0.0101431803536246,0.00462658682772861,0.00985678164173886
AUT,Europe,Western Europe,Austria,1970,104121.15625,0.889080464839935,0.751353919506073,128551.7578125,98280.953125,7.51623916625977,17103.2021425776,13075.8150387472,0.0476530227746335,0.0422262887822411,0.0412150692890607,12,12,1,0,0.0237183285493655,0.0125783156340702,0.0303249673491389
AUT,Europe,Western Europe,Austria,1975,124278.921875,0.901297926902771,0.7747722864151,155899.3125,119861.3203125,7.63768911361694,20411.8431872349,15693.4013062673,0.0360028709313338,0.0371693217290421,0.00615735044975674,12,12,1,0,0.0120681767060658,0.00752134858087113,-0.00473275149016507
AUT,Europe,Western Europe,Austria,1980,136055.671875,0.878348112106323,0.813231468200684,183234.859375,134577.75,7.60975217819214,24078.9522555163,17684.9057431423,0.0335966010095983,0.0241819880873495,0.00973641658193447,12,12,1,0,0.00966190678433027,-0.00546598506082145,-0.00115368535798733
AUT,Europe,Western Europe,Austria,1985,143298.671875,0.775729298591614,0.846364736557007,197103.21875,140056.15625,7.6148681640625,25883.9962167968,18392.4597553742,0.0145623654852569,0.00787671776849042,0.00801890448593579,12,12,1,0,-0.00937232874001109,-0.0217712553796805,-0.00287119745398602
AUT,Europe,Western Europe,Austria,1990,185801.15625,0.809236645698547,0.891475200653076,228848.75,181740.1875,7.72394895553589,29628.4648328728,23529.4392215971,0.0273905444107787,0.0504958775797435,0.010439560302042,12,12,1,0,0.0034558501855107,0.0208479044315725,-0.000450541637879841
AUT,Europe,Western Europe,Austria,1995,225461.890625,0.844664692878723,0.937771201133728,255427.6875,221592.421875,7.99012088775635,31967.9377932072,27733.3002826724,0.0153156826338738,0.0334226964215878,0.0101771136925493,12,12,1,0,-0.00861901159139416,0.00377472327341684,-0.000712988247372547
AUT,Europe,Western Europe,Austria,2000,281065.15625,0.919819295406342,0.96778005361557,295957.5625,271418.15625,8.06927585601807,36677.0907056393,33635.9992015363,0.0278649372747697,0.0393469738345438,0.00631965466263096,12,12,1,0,0.00393024304950168,0.00969900068637282,-0.00457044727729085
AUT,Europe,Western Europe,Austria,2005,318287.75,0.943809926509857,0.987950026988983,323027,315614.0625,8.25364971160889,39137.4738796653,38239.3333286345,0.0130702973915162,0.0259854354550062,0.00413397587719855,12,12,1,0,-0.0108643968337518,-0.00366253769316476,-0.00675612606272326
AUT,Europe,Western Europe,Austria,2010,345392.78125,0.841150999069214,0.99310427904129,344681.09375,340517.21875,8.40994930267334,40984.9193312537,40489.8063584946,0.00926743087595883,0.0115027725850025,0.0010412529626187,12,12,1,0,-0.0146672633493092,-0.0181452005631684,-0.0098488489773031
AUT,Europe,Western Europe,Austria,2015,396382.34375,0.823810935020447,1.0020991563797,363733.3125,387296.28125,8.67865657806397,41911.2461967174,44626.2941465991,0.00448000911133573,0.019645072410974,0.00180493945375204,12,12,1,0,-0.0194546851139323,-0.0100029007371969,-0.00908516248616976
BEL,Europe,Western Europe,Belgium,1960,86830.9375,0.690928637981415,0.526357591152191,103316.3515625,82932.578125,9.11338233947754,11336.7735176601,9100.08765524419,,,,12,12,1,0,,,
BEL,Europe,Western Europe,Belgium,1965,115799.203125,0.813995003700256,0.616949379444122,132088,106055.21875,9.44259071350098,13988.5338682679,11231.5806083136,0.0429333270998911,0.0429873967914225,0.0322710035559626,12,12,1,0,0.020171325859485,0.0168760887048717,0.0204916854576068
BEL,Europe,Western Europe,Belgium,1970,149215.859375,0.92376708984375,0.719849467277527,167398.640625,132609.46875,9.63218021392822,17379.1018136206,13767.3367612294,0.0443619146316743,0.0415540488131558,0.0313318527548232,12,12,1,0,0.0215999133912682,0.015442740726605,0.0195525346564674
BEL,Europe,Western Europe,Belgium,1975,176713.921875,1.01938927173615,0.793067157268524,199466.234375,162033.96875,9.77158641815186,20412.8813725137,16582.1558359248,0.0327029005971964,0.0379064510536677,0.0195620351109509,12,12,1,0,0.00994089935679033,0.0117951429671169,0.00778271701259509
BEL,Europe,Western Europe,Belgium,1980,210532.96875,1.11026811599731,0.853316128253937,233191.1875,201185.171875,9.86899471282959,23628.6667776662,20385.5790512747,0.0296911526597108,0.0421648277211377,0.0147521912665536,12,12,1,0,0.00692915141930474,0.0160535196345869,0.00297287316819778
BEL,Europe,Western Europe,Belgium,1985,183847,0.938277423381805,0.869142949581146,244411.984375,170603.296875,9.91657829284668,24646.8063032696,17203.8471171114,0.00847302690758767,-0.0333694772587971,0.00368226780713488,12,12,1,0,-0.0142889743328184,-0.0594807853453479,-0.00809705029122093
BEL,Europe,Western Europe,Belgium,1990,231488.609375,0.988530576229095,0.924326419830322,284538.71875,223369.015625,10.0065441131592,28435.2635167835,22322.2936009703,0.0290093502431692,0.0534711539666926,0.0123876322626635,12,12,1,0,0.00624734900276315,0.0273598458801418,0.000608314164307683
BEL,Europe,Western Europe,Belgium,1995,263806.59375,0.9957554936409,0.957460582256317,307934.46875,252821.453125,10.1863050460815,30230.2422082339,24819.7410131807,0.012317801406001,0.0214372361894164,0.0070687213735996,12,12,1,0,-0.010444199834405,-0.0046740718971344,-0.00471059672475621
BEL,Europe,Western Europe,Belgium,2000,333135.25,1.08198034763336,0.986038267612457,355097.6875,297748.46875,10.2820329666138,34535.7468365467,28958.1320850461,0.0269881797359122,0.0313228969276149,0.00589945604435949,12,12,1,0,0.00422617849550612,0.00521158884106412,-0.00587986205399632
BEL,Europe,Western Europe,Belgium,2005,377081.96875,1.05894565582275,0.999328672885895,388490.28125,366030.21875,10.5468864440918,36834.5941059815,34705.0497500184,0.0129719213842427,0.0368702774345082,0.00268130059603244,12,12,1,0,-0.0097900798561633,0.0107589693479574,-0.00909801750232336
BEL,Europe,Western Europe,Belgium,2010,428140.28125,0.951201260089874,1.00253212451935,416969.53125,417618.59375,10.938738822937,38118.6111122493,38177.9472487552,0.00687657232317562,0.0192576517160583,0.000640300234444391,12,12,1,0,-0.0158854289172304,-0.00685365637049249,-0.0111390178639114
BEL,Europe,Western Europe,Belgium,2015,445841.90625,0.902345895767212,0.999006867408752,439077.46875,417381.40625,11.2879400253296,38897.9271474451,36975.870292845,0.00405586665590563,-0.00637807440281824,-0.000704261924610705,12,12,1,0,-0.0187061345845004,-0.032489382489369,-0.0124835800229665
BOL,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),1960,5820.8515625,0.485033869743347,1.38306903839111,12609.595703125,6305.15185546875,3.56014585494995,3541.87615251574,1771.03751148347,,,,12,12,1,1,,,
BOL,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),1965,7364.9541015625,0.487732410430908,1.48128294944763,15971.04296875,8133.126953125,3.99477934837341,3997.97875576108,2035.93897030549,0.0245223149850231,0.0282705534354033,0.0138152809177852,12,12,1,1,0.0139860850260154,0.00703591450902005,0.0184160062678353
BOL,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),1970,7720.58154296875,0.454827547073364,1.35332322120667,16238.896484375,8526.416015625,4.50577783584595,3604.01623781484,1892.32943262152,-0.0205342562627122,-0.0145232155059506,-0.0179068045568155,12,12,1,1,-0.03107048622172,-0.0357578544323338,-0.0133060792067653
BOL,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),1975,10649.232421875,0.531604945659638,1.50057578086853,21516.08203125,11310.4833984375,5.0092568397522,4295.26429160186,2257.91644554545,0.0357158691088568,0.0359581812365641,0.0208719704523952,12,12,1,1,0.0251796391498491,0.0147235423101809,0.0254726958024454
BOL,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),1980,11939.7490234375,0.502292692661285,1.36068296432495,23813.87109375,12483.9150390625,5.58957481384277,4260.40832923,2233.42838316533,-0.00162828902433609,-0.00217855646349296,-0.0193821305975086,12,12,1,1,-0.0121645189833438,-0.0234131953898762,-0.0147814052474584
BOL,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),1985,13158.4130859375,0.461622357368469,1.09868121147156,21617.771484375,13773.9521484375,6.21155023574829,3480.25382777424,2217.47416114686,-0.0396446968022942,-0.00143277530811492,-0.0418732839353054,12,12,1,1,-0.050180926761302,-0.0226674142344982,-0.0372725585852553
BOL,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),1990,13981.8154296875,0.420487135648727,1.09456145763397,24182.75390625,14446.6298828125,6.85624408721924,3527.11391231377,2107.07636703637,0.00267852441681371,-0.0101615003787046,-0.000751072633803362,12,12,1,1,-0.00785770554219403,-0.0313961393050878,0.00384965271624681
BOL,Americas,Latin America and the Caribbean,Bolivia (Plurinational State of),1995,20303.37109375,0.456801474094391,1.08651304244995,29560.1796875,20978.41796875,7.56671380996704,3906.60733706655,2772.46087213141,0.0206481555774451,0.056421010206015,-0.00147496377002698,12,12,1,1,0.0101119256184374,0.0351863712796317,0.00312576158002319
