
="",="(1)",="(2)",="(3)"
="",="Productivity growth",="Factor accumulation",="Per capita output growth"

="Per capita output gap (rel. USA)",="0.265**",="-0.0965",="0.169"
="",="(0.0804)",="(0.129)",="(0.130)"

="LAC * RGDP gap (rel. USA)",="-0.673",="0.859**",="0.186"
="",="(0.349)",="(0.312)",="(0.237)"

="LAC",="-2.035",="1.519*",="-0.517"
="",="(1.056)",="(0.691)",="(0.760)"

="year=1968",="1.196**",="0.172",="1.368**"
="",="(0.360)",="(0.302)",="(0.420)"

="year=1975",="0.517",="0.925*",="1.441**"
="",="(0.358)",="(0.367)",="(0.423)"

="year=1982",="-0.361",="0.973*",="0.612"
="",="(0.395)",="(0.382)",="(0.460)"

="year=1989",="0.0669",="-0.0422",="0.0248"
="",="(0.312)",="(0.316)",="(0.421)"

="year=1996",="0.146",="-0.0947",="0.0513"
="",="(0.237)",="(0.290)",="(0.324)"

="year=2003",="0.335",="-0.0863",="0.249"
="",="(0.372)",="(0.287)",="(0.332)"

="year=2010",="0.0547",="0.266",="0.321"
="",="(0.240)",="(0.253)",="(0.248)"

="year=2017",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1968 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1968 # LAC=1",="0.667",="-0.917",="-0.251"
="",="(0.863)",="(0.534)",="(0.874)"

="year=1975 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1975 # LAC=1",="0.540",="-0.181",="0.360"
="",="(0.664)",="(0.600)",="(0.873)"

="year=1982 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1982 # LAC=1",="-0.550",="-0.168",="-0.718"
="",="(0.708)",="(0.586)",="(0.881)"

="year=1989 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1989 # LAC=1",="-0.392",="-0.974",="-1.366"
="",="(0.633)",="(0.674)",="(0.793)"

="year=1996 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1996 # LAC=1",="1.132",="-0.399",="0.733"
="",="(0.749)",="(0.504)",="(0.697)"

="year=2003 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=2003 # LAC=1",="-0.375",="0.123",="-0.251"
="",="(0.901)",="(0.451)",="(0.763)"

="year=2010 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=2010 # LAC=1",="1.510",="0.164",="1.674*"
="",="(0.816)",="(0.464)",="(0.788)"

="year=2017 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=2017 # LAC=1",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Constant",="0.596**",="1.566***",="2.161***"
="",="(0.178)",="(0.248)",="(0.295)"

="Observations",="568",="568",="568"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
