
="",="(1)",="(2)",="(3)"
="",="Productivity growth",="Factor accumulation",="Per capita output growth"

="Per capita output gap (rel. USA)",="0.241**",="-0.0709",="0.170"
="",="(0.0789)",="(0.134)",="(0.140)"

="LAC * RGDP gap (rel. USA)",="-0.474",="0.817**",="0.343"
="",="(0.306)",="(0.273)",="(0.257)"

="LAC",="-1.762",="1.467*",="-0.295"
="",="(1.002)",="(0.607)",="(0.828)"

="year=1968",="1.185**",="0.183",="1.369**"
="",="(0.358)",="(0.301)",="(0.421)"

="year=1969",="1.475***",="0.199",="1.674***"
="",="(0.315)",="(0.312)",="(0.412)"

="year=1970",="1.440***",="0.218",="1.658***"
="",="(0.347)",="(0.320)",="(0.413)"

="year=1971",="1.283***",="0.335",="1.618***"
="",="(0.343)",="(0.326)",="(0.438)"

="year=1972",="1.377***",="0.420",="1.797***"
="",="(0.345)",="(0.331)",="(0.437)"

="year=1973",="1.226***",="0.605",="1.830***"
="",="(0.350)",="(0.342)",="(0.462)"

="year=1974",="0.985**",="0.866*",="1.851***"
="",="(0.334)",="(0.353)",="(0.446)"

="year=1975",="0.509",="0.933*",="1.442**"
="",="(0.356)",="(0.366)",="(0.421)"

="year=1976",="0.197",="1.098**",="1.295**"
="",="(0.361)",="(0.383)",="(0.418)"

="year=1977",="-0.126",="1.267**",="1.142**"
="",="(0.307)",="(0.397)",="(0.390)"

="year=1978",="-0.238",="1.292**",="1.053**"
="",="(0.362)",="(0.399)",="(0.375)"

="year=1979",="-0.452",="1.298**",="0.845*"
="",="(0.383)",="(0.390)",="(0.390)"

="year=1980",="-0.591",="1.182**",="0.591"
="",="(0.426)",="(0.386)",="(0.420)"

="year=1981",="-0.557",="1.044**",="0.487"
="",="(0.432)",="(0.383)",="(0.448)"

="year=1982",="-0.368",="0.980*",="0.612"
="",="(0.394)",="(0.380)",="(0.459)"

="year=1983",="-0.609",="0.744",="0.136"
="",="(0.371)",="(0.376)",="(0.465)"

="year=1984",="-0.610",="0.555",="-0.0549"
="",="(0.369)",="(0.366)",="(0.477)"

="year=1985",="-0.563",="0.261",="-0.302"
="",="(0.321)",="(0.363)",="(0.437)"

="year=1986",="-0.530",="0.0567",="-0.473"
="",="(0.297)",="(0.341)",="(0.410)"

="year=1987",="-0.312",="-0.0482",="-0.361"
="",="(0.298)",="(0.319)",="(0.398)"

="year=1988",="-0.0594",="-0.0522",="-0.112"
="",="(0.292)",="(0.296)",="(0.408)"

="year=1989",="0.0592",="-0.0339",="0.0253"
="",="(0.311)",="(0.314)",="(0.420)"

="year=1990",="0.211",="-0.000583",="0.210"
="",="(0.302)",="(0.285)",="(0.408)"

="year=1991",="0.167",="-0.0355",="0.132"
="",="(0.304)",="(0.280)",="(0.406)"

="year=1992",="0.0952",="-0.0916",="0.00361"
="",="(0.299)",="(0.277)",="(0.429)"

="year=1993",="0.0222",="-0.133",="-0.111"
="",="(0.287)",="(0.282)",="(0.417)"

="year=1994",="0.0971",="-0.161",="-0.0636"
="",="(0.263)",="(0.275)",="(0.390)"

="year=1995",="0.0152",="-0.142",="-0.127"
="",="(0.241)",="(0.293)",="(0.365)"

="year=1996",="0.139",="-0.0872",="0.0517"
="",="(0.234)",="(0.288)",="(0.322)"

="year=1997",="0.176",="-0.0760",="0.0999"
="",="(0.253)",="(0.294)",="(0.299)"

="year=1998",="0.109",="0.0484",="0.157"
="",="(0.278)",="(0.278)",="(0.258)"

="year=1999",="0.194",="0.231",="0.425"
="",="(0.308)",="(0.268)",="(0.254)"

="year=2000",="0.342",="0.346",="0.688*"
="",="(0.302)",="(0.273)",="(0.281)"

="year=2001",="0.348",="0.204",="0.551"
="",="(0.341)",="(0.292)",="(0.292)"

="year=2002",="0.394",="0.0619",="0.456"
="",="(0.378)",="(0.293)",="(0.311)"

="year=2003",="0.329",="-0.0797",="0.249"
="",="(0.369)",="(0.285)",="(0.332)"

="year=2004",="0.358",="0.00308",="0.361"
="",="(0.354)",="(0.269)",="(0.336)"

="year=2005",="0.591",="-0.0314",="0.560"
="",="(0.352)",="(0.263)",="(0.329)"

="year=2006",="0.625",="0.0383",="0.663*"
="",="(0.353)",="(0.259)",="(0.332)"

="year=2007",="0.635",="0.111",="0.747*"
="",="(0.347)",="(0.256)",="(0.326)"

="year=2008",="0.290",="0.358",="0.648"
="",="(0.329)",="(0.278)",="(0.330)"

="year=2009",="0.000315",="0.199",="0.199"
="",="(0.252)",="(0.269)",="(0.261)"

="year=2010",="0.0515",="0.270",="0.321"
="",="(0.239)",="(0.252)",="(0.248)"

="year=2011",="-0.0551",="0.137",="0.0824"
="",="(0.230)",="(0.204)",="(0.245)"

="year=2012",="-0.184",="0.0173",="-0.167"
="",="(0.236)",="(0.191)",="(0.249)"

="year=2013",="-0.289",="-0.131",="-0.420"
="",="(0.227)",="(0.166)",="(0.247)"

="year=2014",="-0.342",="-0.244",="-0.586*"
="",="(0.211)",="(0.139)",="(0.242)"

="year=2015",="-0.0542",="-0.314**",="-0.368"
="",="(0.185)",="(0.0964)",="(0.211)"

="year=2016",="0.116*",="-0.0427",="0.0737"
="",="(0.0548)",="(0.0470)",="(0.0745)"

="year=2017",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1968 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1968 # LAC=1",="0.701",="-0.931",="-0.230"
="",="(0.862)",="(0.541)",="(0.863)"

="year=1969 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1969 # LAC=1",="0.406",="-0.862",="-0.456"
="",="(0.854)",="(0.568)",="(0.878)"

="year=1970 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1970 # LAC=1",="0.747",="-0.706",="0.0410"
="",="(0.890)",="(0.589)",="(0.937)"

="year=1971 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1971 # LAC=1",="0.489",="-0.513",="-0.0238"
="",="(0.793)",="(0.564)",="(0.905)"

="year=1972 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1972 # LAC=1",="0.436",="-0.350",="0.0862"
="",="(0.764)",="(0.558)",="(0.849)"

="year=1973 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1973 # LAC=1",="0.438",="-0.275",="0.164"
="",="(0.769)",="(0.578)",="(0.944)"

="year=1974 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1974 # LAC=1",="0.460",="-0.285",="0.175"
="",="(0.714)",="(0.586)",="(0.927)"

="year=1975 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1975 # LAC=1",="0.567",="-0.191",="0.376"
="",="(0.668)",="(0.602)",="(0.865)"

="year=1976 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1976 # LAC=1",="0.502",="-0.103",="0.399"
="",="(0.664)",="(0.611)",="(0.913)"

="year=1977 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1977 # LAC=1",="0.216",="0.0165",="0.233"
="",="(0.567)",="(0.652)",="(0.863)"

="year=1978 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1978 # LAC=1",="0.258",="-0.0549",="0.203"
="",="(0.585)",="(0.680)",="(0.866)"

="year=1979 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1979 # LAC=1",="0.397",="-0.0738",="0.323"
="",="(0.593)",="(0.657)",="(0.851)"

="year=1980 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1980 # LAC=1",="0.416",="-0.0447",="0.371"
="",="(0.711)",="(0.643)",="(0.864)"

="year=1981 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1981 # LAC=1",="0.0394",="0.0817",="0.121"
="",="(0.689)",="(0.609)",="(0.836)"

="year=1982 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1982 # LAC=1",="-0.520",="-0.177",="-0.698"
="",="(0.715)",="(0.585)",="(0.873)"

="year=1983 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1983 # LAC=1",="-0.648",="-0.499",="-1.147"
="",="(0.691)",="(0.549)",="(0.787)"

="year=1984 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1984 # LAC=1",="-0.730",="-0.594",="-1.324"
="",="(0.639)",="(0.506)",="(0.743)"

="year=1985 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1985 # LAC=1",="-0.931",="-0.660",="-1.591*"
="",="(0.627)",="(0.526)",="(0.702)"

="year=1986 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1986 # LAC=1",="-0.712",="-0.807",="-1.519*"
="",="(0.635)",="(0.537)",="(0.688)"

="year=1987 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1987 # LAC=1",="-0.674",="-0.886",="-1.559*"
="",="(0.634)",="(0.556)",="(0.674)"

="year=1988 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1988 # LAC=1",="-0.666",="-1.105",="-1.771*"
="",="(0.665)",="(0.588)",="(0.752)"

="year=1989 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1989 # LAC=1",="-0.330",="-0.988",="-1.318"
="",="(0.634)",="(0.691)",="(0.776)"

="year=1990 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1990 # LAC=1",="-0.0364",="-0.901",="-0.938"
="",="(0.721)",="(0.710)",="(0.766)"

="year=1991 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1991 # LAC=1",="0.396",="-0.987",="-0.590"
="",="(0.778)",="(0.671)",="(0.791)"

="year=1992 # LAC=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="year=1992 # LAC=1",="0.981",="-0.832",="0.149"
