
="",="(1)",="(2)",="(3)"
="",="Productivity growth",="Factor accumulation",="Per capita output growth"

="Per capita output gap (rel. USA)",="-0.408",="0.763*",="0.355"
="",="(0.355)",="(0.296)",="(0.206)"

="year=1968",="1.863*",="-0.745",="1.117"
="",="(0.818)",="(0.459)",="(0.800)"

="year=1975",="1.057",="0.744",="1.801*"
="",="(0.584)",="(0.495)",="(0.797)"

="year=1982",="-0.911",="0.805",="-0.107"
="",="(0.614)",="(0.463)",="(0.784)"

="year=1989",="-0.325",="-1.017",="-1.341"
="",="(0.575)",="(0.621)",="(0.701)"

="year=1996",="1.278",="-0.494",="0.784"
="",="(0.742)",="(0.430)",="(0.644)"

="year=2003",="-0.0393",="0.0372",="-0.00210"
="",="(0.856)",="(0.363)",="(0.716)"

="year=2010",="1.565",="0.430",="1.995*"
="",="(0.814)",="(0.406)",="(0.780)"

="year=2017",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Constant",="-1.439",="3.084***",="1.645*"
="",="(1.086)",="(0.673)",="(0.731)"

="Observations",="128",="128",="128"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
