
="",="(1)",="(2)",="(3)"
="",="Productivity growth",="Factor accumulation",="Per capita output growth"

="Per capita output gap (rel. USA)",="-0.232",="0.746**",="0.514*"
="",="(0.309)",="(0.248)",="(0.225)"

="year=1968",="1.887*",="-0.748",="1.139"
="",="(0.818)",="(0.469)",="(0.787)"

="year=1969",="1.881*",="-0.663",="1.218"
="",="(0.829)",="(0.496)",="(0.809)"

="year=1970",="2.187*",="-0.487",="1.699"
="",="(0.856)",="(0.517)",="(0.878)"

="year=1971",="1.772*",="-0.177",="1.594"
="",="(0.746)",="(0.481)",="(0.826)"

="year=1972",="1.813*",="0.0701",="1.884*"
="",="(0.712)",="(0.469)",="(0.760)"

="year=1973",="1.664*",="0.330",="1.994*"
="",="(0.714)",="(0.487)",="(0.859)"

="year=1974",="1.445*",="0.581",="2.026*"
="",="(0.659)",="(0.488)",="(0.848)"

="year=1975",="1.076",="0.742",="1.818*"
="",="(0.589)",="(0.499)",="(0.788)"

="year=1976",="0.699",="0.995",="1.694"
="",="(0.582)",="(0.497)",="(0.847)"

="year=1977",="0.0908",="1.284*",="1.375"
="",="(0.498)",="(0.541)",="(0.804)"

="year=1978",="0.0196",="1.237*",="1.256"
="",="(0.480)",="(0.575)",="(0.815)"

="year=1979",="-0.0556",="1.224*",="1.168"
="",="(0.473)",="(0.552)",="(0.789)"

="year=1980",="-0.175",="1.137",="0.962"
="",="(0.593)",="(0.537)",="(0.789)"

="year=1981",="-0.518",="1.126*",="0.608"
="",="(0.561)",="(0.495)",="(0.736)"

="year=1982",="-0.888",="0.802",="-0.0856"
="",="(0.623)",="(0.465)",="(0.775)"

="year=1983",="-1.256",="0.246",="-1.011"
="",="(0.609)",="(0.417)",="(0.662)"

="year=1984",="-1.340*",="-0.0395",="-1.379*"
="",="(0.544)",="(0.364)",="(0.596)"

="year=1985",="-1.494*",="-0.399",="-1.893**"
="",="(0.563)",="(0.397)",="(0.573)"

="year=1986",="-1.242",="-0.750",="-1.992**"
="",="(0.585)",="(0.433)",="(0.577)"

="year=1987",="-0.986",="-0.934",="-1.920**"
="",="(0.584)",="(0.475)",="(0.568)"

="year=1988",="-0.726",="-1.157*",="-1.883*"
="",="(0.624)",="(0.530)",="(0.660)"

="year=1989",="-0.271",="-1.022",="-1.292"
="",="(0.576)",="(0.643)",="(0.681)"

="year=1990",="0.174",="-0.902",="-0.728"
="",="(0.684)",="(0.679)",="(0.677)"

="year=1991",="0.563",="-1.022",="-0.459"
="",="(0.748)",="(0.636)",="(0.709)"

="year=1992",="1.077",="-0.924",="0.153"
="",="(0.786)",="(0.634)",="(0.788)"

="year=1993",="0.983",="-0.792",="0.191"
="",="(0.742)",="(0.628)",="(0.758)"

="year=1994",="0.898",="-0.639",="0.259"
="",="(0.738)",="(0.585)",="(0.702)"

="year=1995",="0.993",="-0.527",="0.466"
="",="(0.738)",="(0.528)",="(0.624)"

="year=1996",="1.331",="-0.499",="0.832"
="",="(0.765)",="(0.454)",="(0.636)"

="year=1997",="1.555",="-0.163",="1.392*"
="",="(0.759)",="(0.411)",="(0.616)"

="year=1998",="1.231",="0.181",="1.412*"
="",="(0.728)",="(0.426)",="(0.534)"

="year=1999",="0.697",="0.191",="0.888"
="",="(0.770)",="(0.400)",="(0.546)"

="year=2000",="0.533",="0.273",="0.806"
="",="(0.843)",="(0.390)",="(0.630)"

="year=2001",="0.222",="0.159",="0.382"
="",="(0.830)",="(0.360)",="(0.698)"

="year=2002",="0.0637",="0.0513",="0.115"
="",="(0.844)",="(0.372)",="(0.696)"

="year=2003",="0.0178",="0.0317",="0.0494"
="",="(0.893)",="(0.381)",="(0.720)"

="year=2004",="0.128",="0.0102",="0.139"
="",="(0.906)",="(0.385)",="(0.748)"

="year=2005",="0.483",="-0.0420",="0.441"
="",="(0.894)",="(0.375)",="(0.742)"

="year=2006",="1.108",="0.199",="1.306"
="",="(0.928)",="(0.404)",="(0.785)"

="year=2007",="1.340",="0.346",="1.686*"
="",="(0.903)",="(0.423)",="(0.761)"

="year=2008",="1.613",="0.482",="2.095*"
="",="(0.936)",="(0.427)",="(0.740)"

="year=2009",="1.399",="0.419",="1.818*"
="",="(0.858)",="(0.417)",="(0.767)"

="year=2010",="1.594",="0.428",="2.022*"
="",="(0.819)",="(0.415)",="(0.774)"

="year=2011",="1.437",="0.389",="1.826*"
="",="(0.719)",="(0.406)",="(0.653)"

="year=2012",="1.217",="0.302",="1.519*"
="",="(0.676)",="(0.419)",="(0.602)"

="year=2013",="0.914",="0.146",="1.060"
="",="(0.563)",="(0.377)",="(0.558)"

="year=2014",="0.576",="0.00147",="0.577"
="",="(0.422)",="(0.305)",="(0.452)"

="year=2015",="0.374",="-0.105",="0.269"
="",="(0.277)",="(0.186)",="(0.313)"

="year=2016",="0.438*",="0.0257",="0.464**"
="",="(0.161)",="(0.0996)",="(0.140)"

="year=2017",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Constant",="-1.193",="3.061***",="1.868*"
="",="(1.029)",="(0.573)",="(0.806)"

="Observations",="800",="800",="800"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
