
="",="(1)",="(2)",="(3)"
="",="Productivity growth",="Factor accumulation",="Per capita output growth"

="Per capita output gap (rel. USA)",="0.265**",="-0.0965",="0.169"
="",="(0.0800)",="(0.129)",="(0.130)"

="year=1968",="1.196**",="0.172",="1.368**"
="",="(0.358)",="(0.301)",="(0.418)"

="year=1975",="0.517",="0.925*",="1.441**"
="",="(0.357)",="(0.365)",="(0.421)"

="year=1982",="-0.361",="0.973*",="0.612"
="",="(0.393)",="(0.380)",="(0.458)"

="year=1989",="0.0669",="-0.0422",="0.0248"
="",="(0.311)",="(0.315)",="(0.420)"

="year=1996",="0.146",="-0.0947",="0.0513"
="",="(0.236)",="(0.288)",="(0.323)"

="year=2003",="0.335",="-0.0863",="0.249"
="",="(0.370)",="(0.286)",="(0.331)"

="year=2010",="0.0547",="0.266",="0.321"
="",="(0.239)",="(0.252)",="(0.247)"

="year=2017",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Constant",="0.596**",="1.566***",="2.161***"
="",="(0.178)",="(0.247)",="(0.294)"

="Observations",="440",="440",="440"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
