
="",="(1)",="(2)",="(3)"
="",="Productivity growth",="Factor accumulation",="Per capita output growth"

="Per capita output gap (rel. USA)",="0.0417",="-0.312*",="-0.270"
="",="(0.0976)",="(0.152)",="(0.142)"

="year=1968",="1.423**",="0.684",="2.107**"
="",="(0.469)",="(0.486)",="(0.732)"

="year=1975",="0.827*",="0.879*",="1.706***"
="",="(0.349)",="(0.338)",="(0.478)"

="year=1982",="-0.161",="1.041*",="0.879*"
="",="(0.294)",="(0.425)",="(0.396)"

="year=1989",="0.597*",="0.179",="0.775*"
="",="(0.262)",="(0.310)",="(0.382)"

="year=1996",="0.271",="-0.176",="0.0946"
="",="(0.232)",="(0.303)",="(0.341)"

="year=2003",="0.339",="-0.258",="0.0810"
="",="(0.405)",="(0.328)",="(0.357)"

="year=2010",="0.0502",="0.103",="0.153"
="",="(0.250)",="(0.238)",="(0.253)"

="year=2017",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Constant",="0.295",="1.388***",="1.684***"
="",="(0.225)",="(0.251)",="(0.302)"

="Observations",="278",="278",="278"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
