
="",="(1)",="(2)",="(3)"
="",="Productivity growth",="Factor accumulation",="Per capita output growth"

="Per capita output gap (rel. USA)",="0.0459",="-0.240",="-0.194"
="",="(0.112)",="(0.165)",="(0.167)"

="year=1968",="1.278**",="1.065*",="2.343**"
="",="(0.449)",="(0.478)",="(0.723)"

="year=1969",="1.325**",="1.101*",="2.426**"
="",="(0.493)",="(0.495)",="(0.767)"

="year=1970",="1.867***",="1.130*",="2.997**"
="",="(0.526)",="(0.465)",="(0.862)"

="year=1971",="1.563***",="0.866",="2.428**"
="",="(0.431)",="(0.527)",="(0.850)"

="year=1972",="1.684***",="0.894",="2.578**"
="",="(0.416)",="(0.459)",="(0.756)"

="year=1973",="1.769***",="1.094**",="2.864***"
="",="(0.346)",="(0.402)",="(0.631)"

="year=1974",="1.408***",="1.293***",="2.702***"
="",="(0.350)",="(0.351)",="(0.573)"

="year=1975",="0.682",="1.256***",="1.938***"
="",="(0.344)",="(0.330)",="(0.509)"

="year=1976",="0.418",="1.606***",="2.024***"
="",="(0.323)",="(0.407)",="(0.506)"

="year=1977",="-0.0435",="1.677***",="1.633**"
="",="(0.327)",="(0.434)",="(0.507)"

="year=1978",="-0.0573",="1.729***",="1.672***"
="",="(0.352)",="(0.419)",="(0.445)"

="year=1979",="-0.233",="1.848***",="1.615***"
="",="(0.298)",="(0.402)",="(0.453)"

="year=1980",="-0.440",="1.561***",="1.121**"
="",="(0.282)",="(0.378)",="(0.409)"

="year=1981",="-0.391",="1.612***",="1.222**"
="",="(0.287)",="(0.415)",="(0.428)"

="year=1982",="-0.305",="1.432***",="1.126*"
="",="(0.287)",="(0.401)",="(0.437)"

="year=1983",="-0.423",="1.259**",="0.836*"
="",="(0.283)",="(0.405)",="(0.415)"

="year=1984",="-0.314",="1.221**",="0.907*"
="",="(0.296)",="(0.388)",="(0.422)"

="year=1985",="-0.362",="0.891*",="0.529"
="",="(0.298)",="(0.345)",="(0.409)"

="year=1986",="-0.288",="0.653*",="0.365"
="",="(0.285)",="(0.314)",="(0.390)"

="year=1987",="-0.0863",="0.521",="0.435"
="",="(0.281)",="(0.284)",="(0.395)"

="year=1988",="0.224",="0.486",="0.710"
="",="(0.266)",="(0.272)",="(0.407)"

="year=1989",="0.452",="0.565",="1.017*"
="",="(0.242)",="(0.283)",="(0.399)"

="year=1990",="0.491*",="0.547",="1.039**"
="",="(0.230)",="(0.280)",="(0.383)"

="year=1991",="0.474",="0.343",="0.817"
="",="(0.248)",="(0.276)",="(0.417)"

="year=1992",="0.352",="0.241",="0.592"
="",="(0.275)",="(0.281)",="(0.439)"

="year=1993",="0.233",="0.227",="0.460"
="",="(0.271)",="(0.266)",="(0.415)"

="year=1994",="0.275",="0.228",="0.502"
="",="(0.264)",="(0.247)",="(0.408)"

="year=1995",="0.0972",="0.197",="0.295"
="",="(0.266)",="(0.263)",="(0.425)"

="year=1996",="0.127",="0.217",="0.344"
="",="(0.209)",="(0.254)",="(0.373)"

="year=1997",="0.0644",="0.237",="0.301"
="",="(0.225)",="(0.247)",="(0.371)"

="year=1998",="-0.00948",="0.360",="0.351"
="",="(0.227)",="(0.216)",="(0.345)"

="year=1999",="-0.0227",="0.589**",="0.566"
="",="(0.239)",="(0.199)",="(0.356)"

="year=2000",="0.203",="0.666**",="0.868*"
="",="(0.246)",="(0.215)",="(0.380)"

="year=2001",="0.153",="0.475",="0.628"
="",="(0.255)",="(0.261)",="(0.381)"

="year=2002",="0.270",="0.298",="0.569"
="",="(0.292)",="(0.265)",="(0.387)"

="year=2003",="0.196",="0.151",="0.346"
="",="(0.284)",="(0.260)",="(0.400)"

="year=2004",="0.217",="0.234",="0.451"
="",="(0.265)",="(0.248)",="(0.394)"

="year=2005",="0.431",="0.167",="0.597"
="",="(0.260)",="(0.240)",="(0.359)"

="year=2006",="0.486",="0.222",="0.708"
="",="(0.271)",="(0.235)",="(0.360)"

="year=2007",="0.489",="0.304",="0.793*"
="",="(0.268)",="(0.228)",="(0.363)"

="year=2008",="0.115",="0.584*",="0.699"
="",="(0.278)",="(0.266)",="(0.365)"

="year=2009",="-0.144",="0.421",="0.278"
="",="(0.250)",="(0.258)",="(0.346)"

="year=2010",="-0.0932",="0.503",="0.409"
="",="(0.277)",="(0.254)",="(0.349)"

="year=2011",="-0.257",="0.409",="0.152"
="",="(0.289)",="(0.219)",="(0.352)"

="year=2012",="-0.517*",="0.354",="-0.163"
="",="(0.237)",="(0.232)",="(0.331)"

="year=2013",="-0.674**",="0.164",="-0.511"
="",="(0.242)",="(0.239)",="(0.318)"

="year=2014",="-0.723**",="0.0475",="-0.676*"
="",="(0.233)",="(0.250)",="(0.307)"

="year=2015",="-0.343",="-0.0746",="-0.418"
="",="(0.192)",="(0.234)",="(0.250)"

="year=2016",="0.160*",="-0.0337",="0.126"
="",="(0.0779)",="(0.113)",="(0.164)"

="year=2017",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Constant",="0.444*",="1.079***",="1.523***"
="",="(0.205)",="(0.228)",="(0.346)"

="Observations",="1725",="1725",="1725"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
