
="",="(1)",="(2)",="(3)"
="",="Productivity growth",="Factor accumulation",="Per capita output growth"

="Per capita output gap (rel. USA)",="0.241**",="-0.0709",="0.170"
="",="(0.0786)",="(0.133)",="(0.140)"

="year=1968",="1.185**",="0.183",="1.369**"
="",="(0.357)",="(0.300)",="(0.420)"

="year=1969",="1.475***",="0.199",="1.674***"
="",="(0.314)",="(0.311)",="(0.411)"

="year=1970",="1.440***",="0.218",="1.658***"
="",="(0.345)",="(0.318)",="(0.412)"

="year=1971",="1.283***",="0.335",="1.618***"
="",="(0.342)",="(0.324)",="(0.437)"

="year=1972",="1.377***",="0.420",="1.797***"
="",="(0.344)",="(0.330)",="(0.435)"

="year=1973",="1.226***",="0.605",="1.830***"
="",="(0.349)",="(0.341)",="(0.461)"

="year=1974",="0.985**",="0.866*",="1.851***"
="",="(0.333)",="(0.352)",="(0.444)"

="year=1975",="0.509",="0.933*",="1.442**"
="",="(0.355)",="(0.365)",="(0.420)"

="year=1976",="0.197",="1.098**",="1.295**"
="",="(0.360)",="(0.382)",="(0.417)"

="year=1977",="-0.126",="1.267**",="1.142**"
="",="(0.306)",="(0.395)",="(0.389)"

="year=1978",="-0.238",="1.292**",="1.053**"
="",="(0.361)",="(0.397)",="(0.373)"

="year=1979",="-0.452",="1.298**",="0.845*"
="",="(0.382)",="(0.389)",="(0.389)"

="year=1980",="-0.591",="1.182**",="0.591"
="",="(0.425)",="(0.385)",="(0.419)"

="year=1981",="-0.557",="1.044**",="0.487"
="",="(0.431)",="(0.382)",="(0.447)"

="year=1982",="-0.368",="0.980*",="0.612"
="",="(0.392)",="(0.379)",="(0.458)"

="year=1983",="-0.609",="0.744",="0.136"
="",="(0.370)",="(0.375)",="(0.464)"

="year=1984",="-0.610",="0.555",="-0.0549"
="",="(0.368)",="(0.365)",="(0.475)"

="year=1985",="-0.563",="0.261",="-0.302"
="",="(0.320)",="(0.362)",="(0.436)"

="year=1986",="-0.530",="0.0567",="-0.473"
="",="(0.296)",="(0.340)",="(0.408)"

="year=1987",="-0.312",="-0.0482",="-0.361"
="",="(0.297)",="(0.318)",="(0.397)"

="year=1988",="-0.0594",="-0.0522",="-0.112"
="",="(0.291)",="(0.295)",="(0.407)"

="year=1989",="0.0592",="-0.0339",="0.0253"
="",="(0.310)",="(0.313)",="(0.419)"

="year=1990",="0.211",="-0.000583",="0.210"
="",="(0.301)",="(0.284)",="(0.407)"

="year=1991",="0.167",="-0.0355",="0.132"
="",="(0.303)",="(0.280)",="(0.405)"

="year=1992",="0.0952",="-0.0916",="0.00361"
="",="(0.298)",="(0.276)",="(0.428)"

="year=1993",="0.0222",="-0.133",="-0.111"
="",="(0.287)",="(0.281)",="(0.416)"

="year=1994",="0.0971",="-0.161",="-0.0636"
="",="(0.262)",="(0.275)",="(0.389)"

="year=1995",="0.0152",="-0.142",="-0.127"
="",="(0.240)",="(0.292)",="(0.364)"

="year=1996",="0.139",="-0.0872",="0.0517"
="",="(0.234)",="(0.287)",="(0.321)"

="year=1997",="0.176",="-0.0760",="0.0999"
="",="(0.252)",="(0.293)",="(0.298)"

="year=1998",="0.109",="0.0484",="0.157"
="",="(0.277)",="(0.277)",="(0.257)"

="year=1999",="0.194",="0.231",="0.425"
="",="(0.307)",="(0.267)",="(0.253)"

="year=2000",="0.342",="0.346",="0.688*"
="",="(0.301)",="(0.272)",="(0.280)"

="year=2001",="0.348",="0.204",="0.551"
="",="(0.339)",="(0.291)",="(0.291)"

="year=2002",="0.394",="0.0619",="0.456"
="",="(0.376)",="(0.292)",="(0.310)"

="year=2003",="0.329",="-0.0797",="0.249"
="",="(0.368)",="(0.284)",="(0.331)"

="year=2004",="0.358",="0.00308",="0.361"
="",="(0.353)",="(0.268)",="(0.335)"

="year=2005",="0.591",="-0.0314",="0.560"
="",="(0.351)",="(0.262)",="(0.328)"

="year=2006",="0.625",="0.0383",="0.663*"
="",="(0.352)",="(0.258)",="(0.331)"

="year=2007",="0.635",="0.111",="0.747*"
="",="(0.346)",="(0.255)",="(0.325)"

="year=2008",="0.290",="0.358",="0.648"
="",="(0.328)",="(0.277)",="(0.329)"

="year=2009",="0.000315",="0.199",="0.199"
="",="(0.252)",="(0.268)",="(0.260)"

="year=2010",="0.0515",="0.270",="0.321"
="",="(0.239)",="(0.252)",="(0.247)"

="year=2011",="-0.0551",="0.137",="0.0824"
="",="(0.229)",="(0.203)",="(0.244)"

="year=2012",="-0.184",="0.0173",="-0.167"
="",="(0.235)",="(0.191)",="(0.248)"

="year=2013",="-0.289",="-0.131",="-0.420"
="",="(0.226)",="(0.165)",="(0.247)"

="year=2014",="-0.342",="-0.244",="-0.586*"
="",="(0.210)",="(0.138)",="(0.241)"

="year=2015",="-0.0542",="-0.314**",="-0.368"
="",="(0.184)",="(0.0961)",="(0.210)"

="year=2016",="0.116*",="-0.0427",="0.0737"
="",="(0.0546)",="(0.0468)",="(0.0743)"

="year=2017",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Constant",="0.569**",="1.594***",="2.163***"
="",="(0.184)",="(0.259)",="(0.299)"

="Observations",="2750",="2750",="2750"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
