"","est1","est2","est3"
"","b","b","b"
"ARG","-.7137567","-.6909737","-1.40473"
"BOL","-.6442342","-.4830572","-1.127291"
"BRA","-.4091634",".0924547","-.3167087"
"BRB","-.4514699","-.3796765","-.8311464"
"CHL","-.6391121",".5647877","-.0743245"
"COL","-.3303053",".0511049","-.2792003"
"CRI","-.1678089",".0118726","-.1559364"
"DOM","-.0290006",".8203398",".7913392"
"ECU","-.2262286","-.5945379","-.8207665"
"GTM","-.2979739","-.5980036","-.8959774"
"JAM","-.5337881","-1.433884","-1.967672"
"MEX","-1.171904",".3604096","-.8114945"
"PER","-.7401715","-.1836147","-.9237862"
"TTO","-1.547629",".9738211","-.5738075"
"URY","-.2974772","-.4122815","-.7097588"
"VEN","-2.198719","-.3462514","-2.544971"
"nonLAC","0","0","0"
"Observations","568","568","568"
