
="",="(1)",="(2)",="(3)"
="",="Productivity growth",="Factor accumulation",="Per capita output growth"

="Per capita output gap (rel. USA)",="0.256**",="-0.0827",="0.173"
="",="(0.0821)",="(0.131)",="(0.132)"

="year=1968",="1.480***",="0.0590",="1.539***"
="",="(0.378)",="(0.291)",="(0.403)"

="year=1975",="0.769*",="0.982**",="1.751***"
="",="(0.352)",="(0.338)",="(0.410)"

="year=1982",="-0.351",="1.028**",="0.677"
="",="(0.380)",="(0.346)",="(0.440)"

="year=1989",="0.139",="-0.201",="-0.0627"
="",="(0.313)",="(0.318)",="(0.393)"

="year=1996",="0.444",="-0.239",="0.205"
="",="(0.274)",="(0.259)",="(0.293)"

="year=2003",="0.298",="-0.118",="0.180"
="",="(0.363)",="(0.245)",="(0.308)"

="year=2010",="0.419",="0.273",="0.692*"
="",="(0.279)",="(0.221)",="(0.276)"

="year=2017",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="ARG # post1990=0",="-1.562***",="-0.940***",="-2.502***"
="",="(0.192)",="(0.223)",="(0.296)"

="ARG # post1990=1",="0.136",="-0.443**",="-0.306"
="",="(0.107)",="(0.152)",="(0.190)"

="BOL # post1990=0",="-1.145***",="-1.526***",="-2.671***"
="",="(0.207)",="(0.277)",="(0.349)"

="BOL # post1990=1",="-0.135",="0.558*",="0.423"
="",="(0.176)",="(0.266)",="(0.287)"

="BRA # post1990=0",="0.415*",="0.184",="0.599*"
="",="(0.191)",="(0.219)",="(0.291)"

="BRA # post1990=1",="-1.231***",="0.000442",="-1.230***"
="",="(0.117)",="(0.168)",="(0.202)"

="BRB # post1990=0",="0.0496",="0.0141",="0.0638"
="",="(0.197)",="(0.195)",="(0.254)"

="BRB # post1990=1",="-0.955***",="-0.773***",="-1.728***"
="",="(0.100)",="(0.142)",="(0.183)"

="CHL # post1990=0",="-0.914***",="-0.527*",="-1.441***"
="",="(0.190)",="(0.200)",="(0.268)"

="CHL # post1990=1",="-0.364***",="1.656***",="1.292***"
="",="(0.104)",="(0.148)",="(0.187)"

="COL # post1990=0",="-0.182",="-0.438*",="-0.620*"
="",="(0.190)",="(0.206)",="(0.276)"

="COL # post1990=1",="-0.476***",="0.539**",="0.0632"
="",="(0.122)",="(0.177)",="(0.210)"

="CRI # post1990=0",="-0.495*",="-0.243",="-0.738**"
="",="(0.190)",="(0.200)",="(0.268)"

="CRI # post1990=1",="0.160",="0.267",="0.427*"
="",="(0.114)",="(0.164)",="(0.199)"

="DOM # post1990=0",="-0.163",="0.406",="0.242"
="",="(0.193)",="(0.228)",="(0.301)"

="DOM # post1990=1",="0.109",="1.234***",="1.343***"
="",="(0.124)",="(0.180)",="(0.212)"

="ECU # post1990=0",="-0.352",="-0.578**",="-0.930**"
="",="(0.190)",="(0.204)",="(0.274)"

="ECU # post1990=1",="-0.0978",="-0.612**",="-0.710**"
="",="(0.134)",="(0.196)",="(0.225)"

="GTM # post1990=0",="-0.405*",="-0.798**",="-1.203***"
="",="(0.196)",="(0.241)",="(0.314)"

="GTM # post1990=1",="-0.185",="-0.399",="-0.584*"
="",="(0.149)",="(0.222)",="(0.248)"

="JAM # post1990=0",="-0.796***",="-1.611***",="-2.407***"
="",="(0.190)",="(0.208)",="(0.279)"

="JAM # post1990=1",="-0.268",="-1.258***",="-1.526***"
="",="(0.145)",="(0.215)",="(0.242)"

="MEX # post1990=0",="-1.503***",="0.891***",="-0.612*"
="",="(0.194)",="(0.194)",="(0.256)"

="MEX # post1990=1",="-0.842***",="-0.170",="-1.012***"
="",="(0.104)",="(0.148)",="(0.187)"

="PER # post1990=0",="-1.493***",="-1.094***",="-2.587***"
="",="(0.192)",="(0.226)",="(0.299)"

="PER # post1990=1",="0.0168",="0.726***",="0.743**"
="",="(0.139)",="(0.206)",="(0.234)"

="TTO # post1990=0",="-2.362***",="0.319",="-2.043***"
="",="(0.205)",="(0.202)",="(0.253)"

="TTO # post1990=1",="-0.737***",="1.629***",="0.892***"
="",="(0.0978)",="(0.139)",="(0.181)"

="URY # post1990=0",="-1.300***",="-0.563**",="-1.863***"
="",="(0.192)",="(0.195)",="(0.260)"

="URY # post1990=1",="0.705***",="-0.261",="0.443*"
="",="(0.106)",="(0.152)",="(0.190)"

="VEN # post1990=0",="-2.312***",="0.158",="-2.154***"
="",="(0.193)",="(0.194)",="(0.257)"

="VEN # post1990=1",="-2.086***",="-0.850***",="-2.936***"
="",="(0.118)",="(0.170)",="(0.204)"

="nonLAC # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="nonLAC # post1990=1",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Constant",="0.428*",="1.626***",="2.053***"
="",="(0.213)",="(0.236)",="(0.289)"

="Observations",="568",="568",="568"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
