
="",="(1)",="(2)",="(3)"
="",="Productivity growth",="Factor accumulation",="Per capita output growth"

="Per capita output gap (rel. USA)",="0.0339",="-0.297",="-0.263"
="",="(0.101)",="(0.156)",="(0.146)"

="year=1968",="1.670***",="0.470",="2.140**"
="",="(0.446)",="(0.447)",="(0.643)"

="year=1975",="0.761*",="1.060**",="1.821**"
="",="(0.376)",="(0.327)",="(0.534)"

="year=1982",="-0.121",="1.212**",="1.091*"
="",="(0.293)",="(0.409)",="(0.421)"

="year=1989",="0.513*",="0.0349",="0.548"
="",="(0.248)",="(0.319)",="(0.401)"

="year=1996",="0.325",="-0.282",="0.0436"
="",="(0.218)",="(0.256)",="(0.297)"

="year=2003",="0.139",="-0.210",="-0.0710"
="",="(0.342)",="(0.276)",="(0.311)"

="year=2010",="0.160",="0.188",="0.347"
="",="(0.230)",="(0.210)",="(0.235)"

="year=2017",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="ARG # post1990=0",="-2.056***",="-1.351***",="-3.408***"
="",="(0.217)",="(0.292)",="(0.369)"

="ARG # post1990=1",="0.112",="-0.438**",="-0.326"
="",="(0.112)",="(0.163)",="(0.197)"

="BRA # post1990=0",="-0.0622",="-0.211",="-0.274"
="",="(0.213)",="(0.285)",="(0.363)"

="BRA # post1990=1",="-1.310***",="-0.0471",="-1.357***"
="",="(0.126)",="(0.187)",="(0.216)"

="BRB # post1990=0",="-0.864***",="0.842***",="-0.0222"
="",="(0.180)",="(0.243)",="(0.344)"

="BRB # post1990=1",="-1.150***",="-0.450**",="-1.601***"
="",="(0.112)",="(0.146)",="(0.182)"

="CHL # post1990=0",="-1.266***",="-0.948***",="-2.214***"
="",="(0.174)",="(0.252)",="(0.314)"

="CHL # post1990=1",="-0.370**",="1.680***",="1.310***"
="",="(0.108)",="(0.156)",="(0.191)"

="COL # post1990=0",="-0.639***",="-0.508",="-1.147***"
="",="(0.183)",="(0.278)",="(0.320)"

="COL # post1990=1",="-0.582***",="0.466*",="-0.115"
="",="(0.133)",="(0.201)",="(0.226)"

="CRI # post1990=0",="-0.882***",="-0.552*",="-1.434***"
="",="(0.198)",="(0.255)",="(0.337)"

="CRI # post1990=1",="0.0952",="0.233",="0.328"
="",="(0.122)",="(0.180)",="(0.210)"

="DOM # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="DOM # post1990=1",="-0.00287",="1.155***",="1.152***"
="",="(0.135)",="(0.204)",="(0.229)"

="ECU # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="ECU # post1990=1",="-0.250",="-0.730**",="-0.981***"
="",="(0.149)",="(0.226)",="(0.247)"

="GTM # post1990=0",="-1.171***",="-2.835***",="-4.006***"
="",="(0.223)",="(0.338)",="(0.433)"

="GTM # post1990=1",="-0.397*",="-0.575*",="-0.971***"
="",="(0.169)",="(0.261)",="(0.277)"

="JAM # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="JAM # post1990=1",="-0.464**",="-1.418***",="-1.882***"
="",="(0.164)",="(0.252)",="(0.269)"

="MEX # post1990=0",="-2.243***",="0.686**",="-1.557***"
="",="(0.167)",="(0.231)",="(0.296)"

="MEX # post1990=1",="-0.848***",="-0.147",="-0.995***"
="",="(0.109)",="(0.156)",="(0.191)"

="PER # post1990=0",="-3.213***",="-1.983***",="-5.196***"
="",="(0.205)",="(0.321)",="(0.356)"

="PER # post1990=1",="-0.158",="0.586*",="0.428"
="",="(0.156)",="(0.239)",="(0.258)"

="TTO # post1990=0",="-3.156***",="0.0470",="-3.109***"
="",="(0.178)",="(0.252)",="(0.294)"

="TTO # post1990=1",="2.067***",="0.308",="2.375***"
="",="(0.117)",="(0.157)",="(0.193)"

="URY # post1990=0",="-1.142***",="-0.430",="-1.573***"
="",="(0.185)",="(0.260)",="(0.363)"

="URY # post1990=1",="0.683***",="-0.254",="0.428*"
="",="(0.112)",="(0.162)",="(0.196)"

="nonLAC # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="nonLAC # post1990=1",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Constant",="0.296",="1.395***",="1.692***"
="",="(0.206)",="(0.233)",="(0.283)"

="Observations",="359",="359",="359"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
