
="",="(1)",="(2)",="(3)"
="",="Productivity growth",="Factor accumulation",="Per capita output growth"

="Per capita output gap (rel. USA)",="0.0413",="-0.229",="-0.188"
="",="(0.112)",="(0.165)",="(0.168)"

="year=1968",="1.574***",="0.795",="2.369***"
="",="(0.413)",="(0.422)",="(0.602)"

="year=1969",="1.787***",="0.862*",="2.648***"
="",="(0.447)",="(0.409)",="(0.627)"

="year=1970",="2.179***",="0.961*",="3.140***"
="",="(0.451)",="(0.394)",="(0.707)"

="year=1971",="1.821***",="0.874*",="2.695***"
="",="(0.398)",="(0.431)",="(0.715)"

="year=1972",="1.813***",="0.963*",="2.776***"
="",="(0.371)",="(0.392)",="(0.647)"

="year=1973",="1.915***",="1.203**",="3.119***"
="",="(0.331)",="(0.361)",="(0.582)"

="year=1974",="1.459***",="1.419***",="2.878***"
="",="(0.362)",="(0.318)",="(0.551)"

="year=1975",="0.645",="1.393***",="2.038***"
="",="(0.370)",="(0.306)",="(0.532)"

="year=1976",="0.431",="1.650***",="2.081***"
="",="(0.338)",="(0.356)",="(0.502)"

="year=1977",="0.0370",="1.764***",="1.801***"
="",="(0.311)",="(0.382)",="(0.479)"

="year=1978",="0.0272",="1.927***",="1.954***"
="",="(0.311)",="(0.390)",="(0.432)"

="year=1979",="-0.0549",="1.962***",="1.907***"
="",="(0.283)",="(0.382)",="(0.422)"

="year=1980",="-0.164",="1.718***",="1.554***"
="",="(0.288)",="(0.363)",="(0.408)"

="year=1981",="-0.262",="1.744***",="1.482***"
="",="(0.275)",="(0.384)",="(0.417)"

="year=1982",="-0.255",="1.542***",="1.288**"
="",="(0.277)",="(0.374)",="(0.426)"

="year=1983",="-0.477",="1.304***",="0.828*"
="",="(0.269)",="(0.367)",="(0.390)"

="year=1984",="-0.369",="1.178**",="0.809*"
="",="(0.274)",="(0.351)",="(0.380)"

="year=1985",="-0.443",="0.847**",="0.404"
="",="(0.278)",="(0.311)",="(0.367)"

="year=1986",="-0.362",="0.585*",="0.222"
="",="(0.269)",="(0.289)",="(0.353)"

="year=1987",="-0.266",="0.418",="0.151"
="",="(0.266)",="(0.266)",="(0.368)"

="year=1988",="0.0366",="0.308",="0.345"
="",="(0.256)",="(0.266)",="(0.387)"

="year=1989",="0.377",="0.383",="0.760"
="",="(0.231)",="(0.293)",="(0.398)"

="year=1990",="0.517*",="0.394",="0.911*"
="",="(0.222)",="(0.294)",="(0.373)"

="year=1991",="0.573*",="0.203",="0.776*"
="",="(0.238)",="(0.277)",="(0.386)"

="year=1992",="0.563*",="0.131",="0.694"
="",="(0.271)",="(0.282)",="(0.413)"

="year=1993",="0.169",="-0.0301",="0.139"
="",="(0.245)",="(0.240)",="(0.382)"

="year=1994",="0.237",="0.0368",="0.274"
="",="(0.237)",="(0.220)",="(0.372)"

="year=1995",="0.140",="0.0408",="0.181"
="",="(0.237)",="(0.225)",="(0.364)"

="year=1996",="0.238",="0.0619",="0.300"
="",="(0.205)",="(0.213)",="(0.318)"

="year=1997",="0.261",="0.163",="0.425"
="",="(0.225)",="(0.203)",="(0.318)"

="year=1998",="0.147",="0.340",="0.486"
="",="(0.213)",="(0.183)",="(0.294)"

="year=1999",="0.0208",="0.521**",="0.542"
="",="(0.210)",="(0.173)",="(0.301)"

="year=2000",="0.145",="0.603**",="0.749*"
="",="(0.214)",="(0.185)",="(0.323)"

="year=2001",="0.0240",="0.422",="0.446"
="",="(0.218)",="(0.219)",="(0.327)"

="year=2002",="0.109",="0.262",="0.371"
="",="(0.244)",="(0.224)",="(0.334)"

="year=2003",="0.0518",="0.147",="0.199"
="",="(0.238)",="(0.222)",="(0.342)"

="year=2004",="0.0749",="0.203",="0.278"
="",="(0.224)",="(0.216)",="(0.337)"

="year=2005",="0.299",="0.151",="0.450"
="",="(0.218)",="(0.208)",="(0.305)"

="year=2006",="0.430",="0.220",="0.650*"
="",="(0.227)",="(0.203)",="(0.296)"

="year=2007",="0.490*",="0.316",="0.806**"
="",="(0.229)",="(0.198)",="(0.297)"

="year=2008",="0.239",="0.587*",="0.826**"
="",="(0.245)",="(0.227)",="(0.301)"

="year=2009",="0.00541",="0.433",="0.438"
="",="(0.231)",="(0.219)",="(0.292)"

="year=2010",="0.0989",="0.507*",="0.606*"
="",="(0.253)",="(0.215)",="(0.300)"

="year=2011",="-0.0724",="0.481*",="0.408"
="",="(0.258)",="(0.185)",="(0.305)"

="year=2012",="-0.321",="0.438*",="0.117"
="",="(0.215)",="(0.194)",="(0.285)"

="year=2013",="-0.461*",="0.242",="-0.218"
="",="(0.218)",="(0.199)",="(0.278)"

="year=2014",="-0.535*",="0.101",="-0.434"
="",="(0.202)",="(0.205)",="(0.262)"

="year=2015",="-0.236",="-0.0365",="-0.273"
="",="(0.160)",="(0.190)",="(0.208)"

="year=2016",="0.228**",="0.0331",="0.261"
="",="(0.0734)",="(0.0962)",="(0.138)"

="year=2017",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="ARG # post1990=0",="-1.802***",="-1.235***",="-3.037***"
="",="(0.210)",="(0.293)",="(0.363)"

="ARG # post1990=1",="0.00210",="-0.329",="-0.327"
="",="(0.129)",="(0.173)",="(0.210)"

="BRA # post1990=0",="-0.116",="-0.0464",="-0.162"
="",="(0.204)",="(0.284)",="(0.354)"

="BRA # post1990=1",="-1.007***",="0.137",="-0.871***"
="",="(0.149)",="(0.203)",="(0.239)"

="BRB # post1990=0",="-1.303***",="0.128",="-1.175***"
="",="(0.169)",="(0.216)",="(0.289)"

="BRB # post1990=1",="-1.471***",="0.257",="-1.214***"
="",="(0.120)",="(0.138)",="(0.174)"

="CHL # post1990=0",="-1.038***",="-1.044***",="-2.082***"
="",="(0.172)",="(0.264)",="(0.294)"

="CHL # post1990=1",="-0.317*",="1.982***",="1.665***"
="",="(0.125)",="(0.167)",="(0.204)"

="COL # post1990=0",="-0.447*",="-0.471",="-0.918**"
="",="(0.177)",="(0.273)",="(0.292)"

="COL # post1990=1",="-0.602***",="0.577*",="-0.0249"
="",="(0.160)",="(0.219)",="(0.254)"

="CRI # post1990=0",="-1.044***",="-0.449",="-1.494***"
="",="(0.187)",="(0.254)",="(0.326)"

="CRI # post1990=1",="0.0749",="0.329",="0.404"
="",="(0.143)",="(0.195)",="(0.230)"

="DOM # post1990=0",="-1.711***",="0.719*",="-0.992*"
="",="(0.237)",="(0.309)",="(0.413)"

="DOM # post1990=1",="0.0450",="1.159***",="1.204***"
="",="(0.164)",="(0.225)",="(0.259)"

="ECU # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="ECU # post1990=1",="-0.289",="-0.538*",="-0.826**"
="",="(0.179)",="(0.248)",="(0.282)"

="GTM # post1990=0",="-0.856***",="-2.604***",="-3.460***"
="",="(0.217)",="(0.324)",="(0.406)"

="GTM # post1990=1",="-0.446*",="-0.452",="-0.898**"
="",="(0.207)",="(0.285)",="(0.318)"

="JAM # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="JAM # post1990=1",="-0.536**",="-1.412***",="-1.948***"
="",="(0.198)",="(0.273)",="(0.303)"

="MEX # post1990=0",="-2.061***",="0.757**",="-1.304***"
="",="(0.175)",="(0.237)",="(0.305)"

="MEX # post1990=1",="-0.989***",="-0.0862",="-1.076***"
="",="(0.122)",="(0.163)",="(0.200)"

="PER # post1990=0",="-2.447***",="-1.660***",="-4.107***"
="",="(0.207)",="(0.318)",="(0.342)"

="PER # post1990=1",="-0.349",="0.700*",="0.351"
="",="(0.190)",="(0.265)",="(0.298)"

="TTO # post1990=0",="-3.116***",="0.319",="-2.797***"
="",="(0.173)",="(0.243)",="(0.263)"

="TTO # post1990=1",="2.373***",="-0.568**",="1.804***"
="",="(0.167)",="(0.203)",="(0.226)"

="URY # post1990=0",="-0.497**",="-0.471*",="-0.968**"
="",="(0.168)",="(0.233)",="(0.318)"

="URY # post1990=1",="0.701***",="-0.205",="0.496*"
="",="(0.129)",="(0.174)",="(0.210)"

="nonLAC # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="nonLAC # post1990=1",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Constant",="0.397*",="1.118***",="1.515***"
="",="(0.190)",="(0.208)",="(0.305)"

="Observations",="2234",="2234",="2234"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
