"","est1","est2","est3"
"","b/se","b/se","b/se"
"ARG # post1990=0","-2.056386","-1.351367","-3.407753"
"",".2171434",".2917807",".3685366"
"ARG # post1990=1",".1120199","-.4376128","-.3255929"
"",".1122386",".1627354",".1965772"
"BRA # post1990=0","-.0622342","-.2113057","-.2735399"
"",".2134811",".2848555",".3627796"
"BRA # post1990=1","-1.309768","-.0471242","-1.356892"
"",".1257271",".1871955",".2157252"
"BRB # post1990=0","-.8641285",".8418804","-.0222482"
"",".18001",".2429965",".3440778"
"BRB # post1990=1","-1.150345","-.4502906","-1.600636"
"",".1123468",".1455528",".182383"
"CHL # post1990=0","-1.26609","-.9483122","-2.214402"
"",".173615",".2522706",".3142018"
"CHL # post1990=1","-.3697392","1.679684","1.309944"
"",".1084859",".1555582",".1910562"
"COL # post1990=0","-.639141","-.5082076","-1.147349"
"",".1830123",".2780052",".3195876"
"COL # post1990=1","-.5817254",".4663691","-.1153564"
"",".1334215",".2006071",".2264591"
"CRI # post1990=0","-.88229","-.5515723","-1.433862"
"",".1981735",".254816",".3371388"
"CRI # post1990=1",".0952158",".2327667",".3279825"
"",".1219013",".1804075",".2103553"
"DOM # post1990=0","0","0","0"
"",".",".","."
"DOM # post1990=1","-.0028691","1.15525","1.15238"
"",".1353377",".2039065",".2291242"
"ECU # post1990=0","0","0","0"
"",".",".","."
"ECU # post1990=1","-.2502638","-.7303214","-.9805853"
"",".1485291",".226291",".2474357"
"GTM # post1990=0","-1.170652","-2.835465","-4.006117"
"",".2233342",".3382384",".4333159"
"GTM # post1990=1","-.3966377","-.5746066","-.9712443"
"",".1694557",".2609875",".2765001"
"JAM # post1990=0","0","0","0"
"",".",".","."
"JAM # post1990=1","-.4641132","-1.418134","-1.882247"
"",".1637382",".2515825",".2685502"
"MEX # post1990=0","-2.24282",".6856864","-1.557134"
"",".1668551",".2314953",".2957918"
"MEX # post1990=1","-.8481823","-.1471781","-.9953604"
"",".1085961",".1557727",".1912207"
"PER # post1990=0","-3.212798","-1.983137","-5.195935"
"",".2046564",".321168",".3559586"
"PER # post1990=1","-.1581595",".5857629",".4276033"
"",".1562656",".2392117",".2581715"
"TTO # post1990=0","-3.155662",".0469597","-3.108702"
"",".1783535",".2519075",".2944213"
"TTO # post1990=1","2.067087",".3078353","2.374922"
"",".1170884",".1565546",".1934776"
"URY # post1990=0","-1.142294","-.4303778","-1.572672"
"",".1850859",".2595474",".3629366"
"URY # post1990=1",".6825402","-.2540654",".4284748"
"",".1117619",".1618367",".1958839"
"nonLAC # post1990=0","0","0","0"
"",".",".","."
"nonLAC # post1990=1","0","0","0"
"",".",".","."
"Observations","359","359","359"
