"","est1","est2","est3"
"","b/se","b/se","b/se"
"ARG # post1990=0","-1.627827","-1.083839","-2.711667"
"",".1711622",".2763526",".3141687"
"ARG # post1990=1",".0273904","-.2773044","-.2499141"
"",".1251248",".1655524",".209027"
"BRA # post1990=0",".0507228",".101165",".1518878"
"",".1662229",".2672954",".3047254"
"BRA # post1990=1","-.96246",".1971715","-.7652885"
"",".1439514",".1935799",".2381844"
"BRB # post1990=0","-.6307812","-.2505961","-.8813773"
"",".1560687",".2259048",".2570447"
"BRB # post1990=1","-1.487121",".3018809","-1.18524"
"",".1166949",".13297",".1700141"
"CHL # post1990=0","-1.241615","-.6989448","-1.94056"
"",".1530323",".2400103",".2763438"
"CHL # post1990=1","-.2961662","2.030809","1.734643"
"",".1210085",".159507",".2027057"
"COL # post1990=0","-.3525862","-.4050305","-.7576167"
"",".1516587",".2563079",".2857851"
"COL # post1990=1","-.5476981",".6418892",".0941911"
"",".1537151",".2082327",".2534262"
"CRI # post1990=0","-.9075045","-.3154704","-1.222975"
"",".1527395",".239281",".2755853"
"CRI # post1990=1",".114516",".386615",".5011309"
"",".1385742",".1855337",".2298215"
"DOM # post1990=0","-2.00104",".663537","-1.337503"
"",".2097948",".2687494",".3726488"
"DOM # post1990=1",".1014674","1.225614","1.327082"
"",".1573585",".2136621",".2588262"
"ECU # post1990=0","-1.312628","-.6706727","-1.983301"
"",".2061382",".2437135",".3525388"
"ECU # post1990=1","-.2176703","-.4653355","-.6830058"
"",".1717345",".2353454",".2817092"
"GTM # post1990=0","-1.036875","-1.975459","-3.012333"
"",".2002445",".3152295",".3738022"
"GTM # post1990=1","-.3576808","-.3680625","-.7257433"
"",".1985616",".269486",".3173751"
"JAM # post1990=0",".347028","-.715374","-.368346"
"",".2348292",".2949784",".4035039"
"JAM # post1990=1","-.3449644","-1.262536","-1.607501"
"",".1872907",".2576149",".3044064"
"MEX # post1990=0","-1.892343",".8713683","-1.020975"
"",".1491289",".2234937",".259025"
"MEX # post1990=1","-.9727689","-.037551","-1.01032"
"",".1187518",".1563176",".1989862"
"PER # post1990=0","-2.155155","-1.161981","-3.317136"
"",".1685682",".3017168",".3247682"
"PER # post1990=1","-.2686405",".7766402",".5079997"
"",".18235",".2513323",".2984438"
"TTO # post1990=0","-3.007138",".7504762","-2.256662"
"",".1525506",".2408031",".25713"
"TTO # post1990=1","2.398145","-.4879702","1.910175"
"",".1600118",".18978",".2204444"
"URY # post1990=0","-1.379745",".1486922","-1.231053"
"",".1658368",".2297893",".2843528"
"URY # post1990=1",".7268646","-.1536131",".5732514"
"",".1252838",".1657869",".2092718"
"nonLAC # post1990=0","0","0","0"
"",".",".","."
"nonLAC # post1990=1","0","0","0"
"",".",".","."
"Observations","2542","2542","2542"
