"","est1","est2","est3"
"","b","b","b"
"ARG","-.9291861","-.8582591","-1.787445"
"BRA","-.6425781","-.0920059","-.734584"
"BRB","-1.094716","-.1379341","-1.23265"
"CHL","-.7204439",".5774149","-.143029"
"COL","-.5810544",".1547668","-.4262876"
"CRI","-.351296","-.1249095","-.4762056"
"DOM","-.0821605","1.108731","1.02657"
"ECU","-.3286284","-.7747107","-1.103339"
"GTM","-.5695365","-1.032255","-1.601791"
"JAM","-.5414888","-1.46025","-2.001739"
"MEX","-1.413424",".231514","-1.18191"
"PER","-1.154636","-.252853","-1.407489"
"TTO",".0091515",".2209995",".230151"
"URY",".2951419","-.3047677","-.0096258"
"nonLAC","0","0","0"
"Observations","359","359","359"
