"","est1","est2","est3"
"","b","b","b"
"ARG","-.7794108","-.6602625","-1.439673"
"BRA","-.4354066",".170223","-.2651836"
"BRB","-1.103904",".0641616","-1.039742"
"CHL","-.7468739",".6836346","-.0632394"
"COL","-.4365102",".1574882","-.279022"
"CRI","-.3750063",".0544149","-.3205914"
"DOM","-.4118412","1.079655",".6678135"
"ECU","-.4759237","-.5289346","-1.004858"
"GTM","-.6094017","-.9312795","-1.540681"
"JAM","-.2727827","-1.18723","-1.460013"
"MEX","-1.416785",".4437986","-.9729864"
"PER","-1.116283","-.0911458","-1.207428"
"TTO","-.8920242",".3085474","-.5834768"
"URY",".0294693","-.0651762","-.035707"
"nonLAC","0","0","0"
"Observations","2542","2542","2542"
