"","est1","est2","est3"
"","b","b","b"
"ARG","0","0","0"
"AUS","3.562203","1.477419","5.039622"
"AUT","3.712411","1.197614","4.910024"
"BEL","3.744314",".9799998","4.724314"
"BFA","-3.174331","-1.405534","-4.579865"
"BOL","-1.937783","-.552773","-2.490556"
"BRA","-.0189914",".7947082",".7757168"
"BRB","1.706051",".8487243","2.554775"
"CAN","3.590399","1.424","5.014399"
"CHE","4.120409","1.190623","5.311032"
"CHL",".7361082","1.578369","2.314477"
"CHN","-.2781859","2.370215","2.092029"
"CIV","-1.986145","-1.896511","-3.882656"
"CMR","-2.211221","-1.143006","-3.354227"
"COL",".4231481",".9103712","1.333519"
"CRI",".7883001",".9730078","1.761308"
"CYP","3.31086","1.387996","4.698856"
"DEU","4.150275",".7096799","4.859955"
"DNK","3.702226","1.007474","4.7097"
"DOM",".3489723","1.483332","1.832305"
"ECU",".4377135",".0837914",".5215048"
"EGY","-2.015604","1.425338","-.5902666"
"ESP","2.796481","1.131855","3.928336"
"FIN","3.954102","1.010075","4.964177"
"FRA","3.74911",".86192","4.61103"
"GBR","3.391329","1.11329","4.504619"
"GRC","1.902248","1.153358","3.055606"
"GTM","-.7513015","-.4420749","-1.193376"
"HKG","3.989737","2.692327","6.682064"
"IDN","-.9662395","1.295943",".3297033"
"IND","-1.445374","-.0087976","-1.454172"
"IRL","4.262308","1.693035","5.955343"
"IRN","-2.786068",".9440559","-1.842012"
"ISL","4.372317","1.472586","5.844902"
"ISR","3.517281","1.211742","4.729023"
"ITA","2.897484","1.424126","4.32161"
"JAM","-.1588049","-.9636254","-1.12243"
"JOR","-2.370104",".4317766","-1.938328"
"JPN","3.351297","1.587114","4.938411"
"KEN","-2.209269","-1.267828","-3.477097"
"KOR","2.542028","3.167085","5.709114"
"LKA","-.1079658","1.30302","1.195054"
"LUX","4.116489","2.166449","6.282938"
"MAR","-.9992302",".8907906","-.1084397"
"MEX",".5485148","1.417971","1.966486"
"MLT","2.232107","2.299754","4.531861"
"MOZ","-5.430354","-.1081607","-5.538515"
"MYS",".7893854","2.762475","3.551861"
"NER","-4.084707","-3.204149","-7.288856"
"NGA","-.9258111","-.5377193","-1.46353"
"NLD","3.92531","1.097619","5.022929"
"NOR","4.155048","1.578205","5.733253"
"NZL","2.933862","1.076695","4.010558"
"PER","-.995621",".3641352","-.6314859"
"PHL","-.9251106","-.1197465","-1.044857"
"PRT","1.632213","1.574729","3.206942"
"ROU","1.502558",".7792935","2.281852"
"SEN","-1.706307","-1.747911","-3.454218"
"SGP","2.054063","4.374829","6.428892"
"SWE","3.801742","1.054301","4.856043"
"THA",".5342584","2.008769","2.543027"
"TTO",".8186499","2.604817","3.423467"
"TUN",".6598571",".7140963","1.373953"
"TUR","1.022715","1.948359","2.971074"
"TWN","3.852234","2.619181","6.471415"
"TZA","-2.52209","-1.226774","-3.748864"
"URY","1.571407",".7630932","2.3345"
"USA","4.252926","1.508683","5.761609"
"VEN","-1.291749",".8717521","-.419997"
"ZAF",".6132351","-.0453869",".5678482"
"ZWE","-.5009497","-1.552209","-2.053159"
"Constant","-3.602761","-.3609483","-3.96371"
"Observations","497","497","497"
