"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA)",".0810447","-.2499422","-.1688975"
"year=1968","1.456243",".2725485","1.728791"
"year=1975",".4880522",".9298583","1.417911"
"year=1982","-.4485509","1.068147",".6195964"
"year=1989",".20019","-.1323208",".0678691"
"year=1996",".3426927","-.2773997",".0652929"
"year=2003",".1680925","-.198727","-.0306345"
"year=2010",".1840259",".1927459",".3767718"
"year=2017","0","0","0"
"Constant",".2941152","1.457766","1.751882"
"Observations","359","359","359"
