"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA)",".0801493","-.189794","-.1096447"
"year=1968","1.378033",".5912702","1.969303"
"year=1969","1.440866",".7334658","2.174332"
"year=1970","1.866368",".840702","2.70707"
"year=1971","1.540849",".7628117","2.303661"
"year=1972","1.554007",".8543797","2.408387"
"year=1973","1.691045","1.09769","2.788735"
"year=1974","1.210618","1.263974","2.474593"
"year=1975",".4099658","1.240278","1.650243"
"year=1976",".2300834","1.4964","1.726484"
"year=1977","-.1646377","1.610141","1.445503"
"year=1978","-.3673576","1.729422","1.362065"
"year=1979","-.3995466","1.781371","1.381824"
"year=1980","-.4838603","1.544777","1.060916"
"year=1981","-.5553364","1.58069","1.025354"
"year=1982","-.5267485","1.386037",".8592886"
"year=1983","-.7401757","1.149928",".409752"
"year=1984","-.6216254","1.027745",".4061194"
"year=1985","-.7054286",".7074169",".0019882"
"year=1986","-.6173318",".4460262","-.1713056"
"year=1987","-.5361323",".2133652","-.3227671"
"year=1988","-.2255233",".1070818","-.1184416"
"year=1989",".1219991",".1851158",".3071149"
"year=1990",".2700379",".200497",".4705349"
"year=1991",".3591518",".0258136",".3849654"
"year=1992",".3291983","-.0270477",".3021505"
"year=1993",".2039678","-.0197411",".1842266"
"year=1994",".2631005",".0213193",".2844198"
"year=1995",".1670299",".0246125",".1916424"
"year=1996",".264424",".0452687",".3096926"
"year=1997",".2892724",".1468437",".436116"
"year=1998",".1772958",".323206",".5005018"
"year=1999",".0512446",".5044979",".5557424"
"year=2000",".1779201",".5876534",".7655735"
"year=2001",".0577789",".4064351",".4642139"
"year=2002",".1468773",".2483368",".3952141"
"year=2003",".0896859",".1332109",".2228967"
"year=2004",".1128587",".189518",".3023767"
"year=2005",".3367389",".1363682",".4731071"
"year=2006",".4299668",".2147471",".6447139"
"year=2007",".4893886",".31026",".7996486"
"year=2008",".2375498",".5804794",".8180291"
"year=2009",".0030375",".424643",".4276804"
"year=2010",".0953497",".4974931",".5928428"
"year=2011","-.0568335",".4663442",".4095107"
"year=2012","-.3112462",".4210277",".1097814"
"year=2013","-.4538104",".2239345","-.2298759"
"year=2014","-.5286235",".081753","-.4468706"
"year=2015","-.2366724","-.0514924","-.2881648"
"year=2016",".2137908",".0526206",".2664114"
"year=2017","0","0","0"
"Constant",".3712397","1.211968","1.583207"
"Observations","2234","2234","2234"
