"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA)",".2390082","-.030364",".2086441"
"year=1968","1.357423","-.0370578","1.320365"
"year=1969","1.581565","-.0082492","1.573315"
"year=1970","1.623938",".0455608","1.669498"
"year=1971","1.4085",".205759","1.614259"
"year=1972","1.490175",".3278801","1.818055"
"year=1973","1.33842",".5298488","1.868268"
"year=1974","1.101621",".7905411","1.892162"
"year=1975",".6478579",".8807606","1.528619"
"year=1976",".319903","1.067403","1.387306"
"year=1977","-.066934","1.263052","1.196118"
"year=1978","-.169367","1.269859","1.100492"
"year=1979","-.3515651","1.270584",".9190186"
"year=1980","-.4855344","1.160776",".6752418"
"year=1981","-.5359273","1.050226",".5142984"
"year=1982","-.4712126",".9249903",".4537776"
"year=1983","-.7391025",".6142839","-.1248186"
"year=1984","-.7565196",".3995879","-.3569317"
"year=1985","-.7528557",".086922","-.6659338"
"year=1986","-.6674305","-.1543313","-.8217618"
"year=1987","-.4388346","-.2810426","-.7198772"
"year=1988","-.1811343","-.3392532","-.5203875"
"year=1989",".0169295","-.3001542","-.2832247"
"year=1990",".236999","-.2511288","-.0141299"
"year=1991",".2919391","-.3069823","-.0150432"
"year=1992",".3516063","-.327929",".0236773"
"year=1993",".2738615","-.3302557","-.0563942"
"year=1994",".3121387","-.3165859","-.0044473"
"year=1995",".2689821","-.2752286","-.0062465"
"year=1996",".439054","-.223511",".215543"
"year=1997",".5166724","-.1367964",".379876"
"year=1998",".3909431",".0381338",".4290769"
"year=1999",".337241",".1808913",".5181324"
"year=2000",".4155083",".2877592",".7032674"
"year=2001",".3508726",".1497674",".5006401"
"year=2002",".3525639",".0132778",".3658416"
"year=2003",".2931024","-.1034333",".1896691"
"year=2004",".3410491","-.0456758",".2953732"
"year=2005",".6012279","-.0839367",".5172912"
"year=2006",".7666607",".0265942",".7932549"
"year=2007",".8243837",".1202444",".9446281"
"year=2008",".6148157",".347437",".9622527"
"year=2009",".3380296",".216156",".5541855"
"year=2010",".4167941",".2800368",".6968308"
"year=2011",".2935824",".1767125",".4702948"
"year=2012",".1394338",".0705182",".209952"
"year=2013","-.0137554","-.0742776","-.088033"
"year=2014","-.1334125","-.1902702","-.3236826"
"year=2015",".0427879","-.2673141","-.2245262"
"year=2016",".1887286","-.0267031",".1620256"
"year=2017","0","0","0"
"Constant",".3195353","1.713558","2.033093"
"Observations","3550","3550","3550"
