"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA)",".2652289","-.0964796",".1687494"
"year=1968","1.195923",".17206","1.367983"
"year=1975",".5167217",".9245853","1.441307"
"year=1982","-.3610995",".9726543",".6115548"
"year=1989",".0669402","-.0421642",".024776"
"year=1996",".1460072","-.0947263",".0512809"
"year=2003",".3353331","-.0862603",".2490728"
"year=2010",".0547053",".2661594",".3208647"
"year=2017","0","0","0"
"Constant",".5958057","1.565593","2.161399"
"Observations","440","440","440"
