"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA)",".0417148","-.3119863","-.2702715"
"year=1968","1.422813",".6840801","2.106893"
"year=1975",".8270947",".879132","1.706227"
"year=1982","-.1614586","1.040869",".8794107"
"year=1989",".5966452",".1786288",".775274"
"year=1996",".2706031","-.1760131",".0945899"
"year=2003",".3385083","-.2575129",".0809955"
"year=2010",".0502249",".1029562",".1531811"
"year=2017","0","0","0"
"Constant",".2952651","1.388451","1.683717"
"Observations","278","278","278"
