"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA)",".2412365","-.0708987",".1703378"
"year=1968","1.185469",".1832069","1.368676"
"year=1969","1.474764",".1987813","1.673545"
"year=1970","1.440245",".2182063","1.658452"
"year=1971","1.282833",".3354273","1.61826"
"year=1972","1.376964",".4203907","1.797355"
"year=1973","1.225512",".6045501","1.830062"
"year=1974",".9851592",".8661435","1.851303"
"year=1975",".5090528",".932762","1.441815"
"year=1976",".1968599","1.098239","1.295099"
"year=1977","-.1256707","1.267321","1.14165"
"year=1978","-.2381097","1.291532","1.053422"
"year=1979","-.4522038","1.297587",".8453837"
"year=1980","-.5907183","1.181734",".5910152"
"year=1981","-.5572093","1.044276",".4870665"
"year=1982","-.3677014",".9796933",".6119919"
"year=1983","-.6086145",".7443946",".1357801"
"year=1984","-.6098458",".5549736","-.0548722"
"year=1985","-.563485",".2610827","-.3024023"
"year=1986","-.52982",".0566898","-.4731303"
"year=1987","-.3124236","-.0482137","-.3606373"
"year=1988","-.0594434","-.0522007","-.1116441"
"year=1989",".0592123","-.0339246",".0252877"
"year=1990",".2106815","-.0005826",".2100989"
"year=1991",".1670744","-.0354526",".1316218"
"year=1992",".095205","-.0915957",".0036093"
"year=1993",".022201","-.1331591","-.1109582"
"year=1994",".0970694","-.1607152","-.0636458"
"year=1995",".0151661","-.1420541","-.1268881"
"year=1996",".1389267","-.087177",".0517497"
"year=1997",".1758645","-.0759519",".0999126"
"year=1998",".1088069",".0483895",".1571964"
"year=1999",".1940231",".2308811",".4249042"
"year=2000",".342212",".3461532",".6883652"
"year=2001",".3479725",".203509",".5514815"
"year=2002",".3944948",".0619384",".4564331"
"year=2003",".3291761","-.0796956",".2494805"
"year=2004",".3577853",".0030825",".3608677"
"year=2005",".590997","-.0313961",".5596009"
"year=2006",".6248894",".038307",".6631964"
"year=2007",".6351283",".11142",".7465483"
"year=2008",".289851",".3581518",".6480028"
"year=2009",".0003153",".1989916",".1993068"
"year=2010",".0514655",".2696138",".3210792"
"year=2011","-.055083",".137468",".082385"
"year=2012","-.1843278",".0172841","-.1670438"
"year=2013","-.2890226","-.1313441","-.4203668"
"year=2014","-.3417381","-.2440854","-.5858235"
"year=2015","-.0541552","-.314198","-.3683532"
"year=2016",".1163815","-.0426738",".0737077"
"year=2017","0","0","0"
"Constant",".5689981","1.594176","2.163174"
"Observations","2750","2750","2750"
