"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA)",".2652289","-.0964796","-.4474832"
"LAC * RGDP gap (rel. USA)","-.6729808",".8593101",".8025618"
"year=1968","1.195923",".17206","1.729061"
"year=1975",".5167217",".9245853","1.611717"
"year=1982","-.3610995",".9726543",".9510907"
"year=1989",".0669402","-.0421642",".658825"
"year=1996",".1460072","-.0947263",".4964137"
"year=2003",".3353331","-.0862603",".398573"
"year=2010",".0547053",".2661594",".1636419"
"year=2017","0","0","0"
"Constant",".5958057","1.565593","1.654036"
"Observations","568","568","568"
