"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA)",".2412365","-.0708987","-.4826564"
"LAC * RGDP gap (rel. USA)","-.4736586",".8169139",".9962495"
"year=1968","1.185469",".1832069","1.706154"
"year=1969","1.474764",".1987813","2.096581"
"year=1970","1.440245",".2182063","1.968702"
"year=1971","1.282833",".3354273","1.990373"
"year=1972","1.376964",".4203907","2.080293"
"year=1973","1.225512",".6045501","2.241893"
"year=1974",".9851592",".8661435","2.08743"
"year=1975",".5090528",".932762","1.59452"
"year=1976",".1968599","1.098239","1.474173"
"year=1977","-.1256707","1.267321","1.48828"
"year=1978","-.2381097","1.291532","1.400554"
"year=1979","-.4522038","1.297587","1.218526"
"year=1980","-.5907183","1.181734",".7692811"
"year=1981","-.5572093","1.044276",".7412223"
"year=1982","-.3677014",".9796933",".9364816"
"year=1983","-.6086145",".7443946",".5693901"
"year=1984","-.6098458",".5549736",".4773457"
"year=1985","-.563485",".2610827",".1807033"
"year=1986","-.52982",".0566898",".0449727"
"year=1987","-.3124236","-.0482137",".2526507"
"year=1988","-.0594434","-.0522007",".4989985"
"year=1989",".0592123","-.0339246",".6439595"
"year=1990",".2106815","-.0005826",".7114691"
"year=1991",".1670744","-.0354526",".5101889"
"year=1992",".095205","-.0915957",".5556515"
"year=1993",".022201","-.1331591",".4459896"
"year=1994",".0970694","-.1607152",".4299504"
"year=1995",".0151661","-.1420541",".4378525"
"year=1996",".1389267","-.087177",".4849207"
"year=1997",".1758645","-.0759519",".5140984"
"year=1998",".1088069",".0483895",".447524"
"year=1999",".1940231",".2308811",".6113667"
"year=2000",".342212",".3461532",".9546011"
"year=2001",".3479725",".203509",".6936353"
"year=2002",".3944948",".0619384",".505256"
"year=2003",".3291761","-.0796956",".3898705"
"year=2004",".3577853",".0030825",".4900755"
"year=2005",".590997","-.0313961",".7945219"
"year=2006",".6248894",".038307",".8890653"
"year=2007",".6351283",".11142",".8569202"
"year=2008",".289851",".3581518",".7772949"
"year=2009",".0003153",".1989916",".0527019"
"year=2010",".0514655",".2696138",".1596666"
"year=2011","-.055083",".137468","-.1158907"
"year=2012","-.1843278",".0172841","-.4769473"
"year=2013","-.2890226","-.1313441","-.8070223"
"year=2014","-.3417381","-.2440854","-1.021714"
"year=2015","-.0541552","-.314198","-.7310184"
"year=2016",".1163815","-.0426738",".0217949"
"year=2017","0","0","0"
"Constant",".5689981","1.594176","1.634183"
"Observations","3550","3550","3550"
