"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA)",".2412365","-.0708987",".1098272"
"LAC * RGDP gap (rel. USA)","-.4736586",".8169139",".4037658"
"year=1968","1.185469",".1832069","1.192402"
"year=1969","1.474764",".1987813","1.468068"
"year=1970","1.440245",".2182063","1.450374"
"year=1971","1.282833",".3354273","1.35072"
"year=1972","1.376964",".4203907","1.51939"
"year=1973","1.225512",".6045501","1.506375"
"year=1974",".9851592",".8661435","1.548867"
"year=1975",".5090528",".932762","1.153528"
"year=1976",".1968599","1.098239",".9871795"
"year=1977","-.1256707","1.267321",".8165896"
"year=1978","-.2381097","1.291532",".724557"
"year=1979","-.4522038","1.297587",".5187958"
"year=1980","-.5907183","1.181734",".3097183"
"year=1981","-.5572093","1.044276",".1631144"
"year=1982","-.3677014",".9796933",".2854481"
"year=1983","-.6086145",".7443946","-.1959444"
"year=1984","-.6098458",".5549736","-.3966984"
"year=1985","-.563485",".2610827","-.5917423"
"year=1986","-.52982",".0566898","-.7736342"
"year=1987","-.3124236","-.0482137","-.7191897"
"year=1988","-.0594434","-.0522007","-.4706494"
"year=1989",".0592123","-.0339246","-.3407875"
"year=1990",".2106815","-.0005826","-.1251094"
"year=1991",".1670744","-.0354526","-.189613"
"year=1992",".095205","-.0915957","-.3687837"
"year=1993",".022201","-.1331591","-.4822026"
"year=1994",".0970694","-.1607152","-.3895999"
"year=1995",".0151661","-.1420541","-.4196119"
"year=1996",".1389267","-.087177","-.2189047"
"year=1997",".1758645","-.0759519","-.1562417"
"year=1998",".1088069",".0483895",".0164091"
"year=1999",".1940231",".2308811",".3074497"
"year=2000",".342212",".3461532",".588444"
"year=2001",".3479725",".203509",".5208605"
"year=2002",".3944948",".0619384",".4321163"
"year=2003",".3291761","-.0796956",".2336049"
"year=2004",".3577853",".0030825",".3375365"
"year=2005",".590997","-.0313961",".454042"
"year=2006",".6248894",".038307",".5618766"
"year=2007",".6351283",".11142",".6605462"
"year=2008",".289851",".3581518",".5395486"
"year=2009",".0003153",".1989916",".1174877"
"year=2010",".0514655",".2696138",".1847792"
"year=2011","-.055083",".137468","-.0437092"
"year=2012","-.1843278",".0172841","-.2753373"
"year=2013","-.2890226","-.1313441","-.5137616"
"year=2014","-.3417381","-.2440854","-.657643"
"year=2015","-.0541552","-.314198","-.4262934"
"year=2016",".1163815","-.0426738",".0135432"
"year=2017","0","0","0"
"Constant",".5689981","1.594176","2.078717"
"Observations","3550","3550","3550"
