"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA, lag)",".0797152","-.9090931","-.8293779"
"LAC * RGDP gap (rel. USA, lag)","-.719919","1.200598",".4806794"
"year=1975",".2603727","1.123737","1.38411"
"year=1982","-.2060155","1.031201",".8251854"
"year=1989",".0908234",".5063795",".5972029"
"year=1996",".1446033",".241238",".3858413"
"year=2003","-.0023134",".3343357",".3320223"
"year=2010","-.1595668",".2623167",".1027498"
"year=2017","0","0","0"
"Constant",".5905323",".754209","1.344741"
"Observations","399","399","399"
