"","est1","est2","est3"
"","b/se","b/se","b/se"
"ARG # post1990=0","-2.081221","-1.329376","-3.410597"
"",".2046446",".2999152",".3645153"
"ARG # post1990=1",".4108742","-.7022467","-.2913726"
"",".114937",".3218936",".3658455"
"BRA # post1990=0",".551695","-.7549368","-.2032418"
"",".2273415",".6471278",".6980647"
"BRA # post1990=1","-.7236479","-.5661305","-1.289778"
"",".1640143",".5569222",".6088021"
"BRB # post1990=0","-.3025875",".3446387",".0420511"
"",".2155669",".6232371",".6626557"
"BRB # post1990=1","-.6143037","-.9249527","-1.539256"
"",".1731803",".515181",".5469526"
"CHL # post1990=0","-.8030048","-1.358372","-2.161377"
"",".1742236",".5343886",".567169"
"CHL # post1990=1",".1448317","1.224034","1.368865"
"",".151405",".49204",".535997"
"COL # post1990=0",".0302354","-1.100937","-1.070702"
"",".210685",".7366802",".7521919"
"COL # post1990=1","-.0153602","-.0351445","-.0505047"
"",".1609344",".5441154",".5978034"
"CRI # post1990=0","-.5891026","-.8111883","-1.400291"
"",".1866048",".40176",".4528972"
"CRI # post1990=1",".3882211","-.026688",".3615331"
"",".117951",".3250611",".3709967"
"DOM # post1990=0","0","0","0"
"",".",".","."
"DOM # post1990=1",".3664226",".8282437","1.194666"
"",".1320031",".3915763",".441126"
"ECU # post1990=0","0","0","0"
"",".",".","."
"ECU # post1990=1",".1205292","-1.058657","-.9381276"
"",".1391833",".4027298",".4540375"
"GTM # post1990=0","-.6887232","-3.262211","-3.950934"
"",".2005922",".598238",".6690574"
"GTM # post1990=1","-.0314265","-.8979993","-.9294258"
"",".1522916",".4164905",".4692354"
"JAM # post1990=0","0","0","0"
"",".",".","."
"JAM # post1990=1","-.3947503","-1.479554","-1.874304"
"",".1523581",".2588708",".2884135"
"MEX # post1990=0","-1.514739",".0409741","-1.473765"
"",".2311558",".7419937",".7636115"
"MEX # post1990=1","-.3670902","-.5731828","-.9402729"
"",".144617",".4645739",".5082212"
"PER # post1990=0","-2.542508","-2.576675","-5.119184"
"",".2091201",".7503264",".7749067"
"PER # post1990=1",".3305797",".1529867",".4835664"
"",".1559698",".4957034",".5520321"
"TTO # post1990=0","-2.684192","-.3705246","-3.054716"
"",".2033817",".5742544",".5728366"
"TTO # post1990=1","2.375461",".0347719","2.410233"
"",".1269626",".3321798",".3693595"
"URY # post1990=0","-.9042186","-.6411926","-1.545411"
"",".1676821",".3887986",".4561356"
"URY # post1990=1",".844651","-.3976137",".4470373"
"",".1041863",".2251994",".2692089"
"nonLAC # post1990=0","0","0","0"
"",".",".","."
"nonLAC # post1990=1","0","0","0"
"",".",".","."
"Observations","359","359","359"
