"","est1","est2","est3"
"","b/se","b/se","b/se"
"ARG # post1990=0","0","0","0"
"",".",".","."
"ARG # post1990=1",".3827311","-.6344502","-.2517191"
"",".1449194",".3404827",".3492233"
"BRA # post1990=0","2.503211",".5323025","3.035513"
"",".2083093",".583617",".5172409"
"BRA # post1990=1","-.2790098","-.4485024","-.7275122"
"",".2122033",".5780852",".5586907"
"BRB # post1990=0","1.194522",".8046327","1.999154"
"",".2457086",".5630397",".5070601"
"BRB # post1990=1","-.7595687","-.3141776","-1.073746"
"",".1951922",".5541844",".5145395"
"CHL # post1990=0","1.386092","-.3083837","1.077708"
"",".1792175",".4769631",".4193348"
"CHL # post1990=1",".3306884","1.461499","1.792188"
"",".187445",".5137256",".4924269"
"COL # post1990=0","2.206619",".0799973","2.286616"
"",".2376744",".6495682",".5701093"
"COL # post1990=1",".1226429","-.0051175",".1175254"
"",".2160548",".5802017",".5649414"
"CRI # post1990=0","1.10926",".5033852","1.612645"
"",".1096917",".2661966",".2288211"
"CRI # post1990=1",".4711784",".0103054",".4814838"
"",".1558662",".3599312",".3719246"
"DOM # post1990=0",".5263138","1.604062","2.130376"
"",".2364458",".3886587",".4409719"
"DOM # post1990=1",".513117",".782549","1.295666"
"",".17771",".4184508",".4284828"
"ECU # post1990=0","0","0","0"
"",".",".","."
"ECU # post1990=1",".1760618","-.9108998","-.734838"
"",".1879345",".4271091",".4429891"
"GTM # post1990=0","1.546371","-1.851326","-.3049553"
"",".1812014",".4843874",".4753707"
"GTM # post1990=1",".0256252","-.8309613","-.8053361"
"",".2072092",".4517727",".4714444"
"JAM # post1990=0","0","0","0"
"",".",".","."
"JAM # post1990=1","-.455014","-1.477275","-1.932289"
"",".1842899",".2767457",".3155712"
"MEX # post1990=0",".659718","1.25369","1.913408"
"",".2646224",".6800997",".5879601"
"MEX # post1990=1","-.3625488","-.5899719","-.9525207"
"",".1823604",".4995659",".47831"
"PER # post1990=0",".2008334","-1.104467","-.9036341"
"",".2302644",".6473028",".5824562"
"PER # post1990=1",".2481845",".2203639",".4685484"
"",".2123548",".5152822",".5221359"
"TTO # post1990=0","-.7172817","1.074541",".3572595"
"",".2431478",".517185",".4603088"
"TTO # post1990=1","2.711467","-.840425","1.871042"
"",".159271",".3369516",".347085"
"URY # post1990=0","1.572879",".5484753","2.121354"
"",".1571554",".286882",".29112"
"URY # post1990=1",".9004008","-.3649023",".5354985"
"",".1272941",".2356219",".2655075"
"nonLAC # post1990=0","1.779628","1.253123","3.032751"
"",".1869266",".2999947",".3622603"
"nonLAC # post1990=1","0","0","0"
"",".",".","."
"Observations","2234","2234","2234"
