
="",="(1)",="(2)",="(3)"
="",="Productivity growth",="Factor accumulation",="Per capita output growth"

="Gini (disp. inc.)",="-0.0995",="0.344**",="0.244*"
="",="(0.0586)",="(0.104)",="(0.120)"

="Gini squared (disp. inc.)",="0.000731",="-0.00400**",="-0.00327*"
="",="(0.000720)",="(0.00125)",="(0.00151)"

="Per capita output gap (rel. USA)",="-0.211",="-0.0106",="-0.222"
="",="(0.142)",="(0.227)",="(0.204)"

="year=1968",="1.533***",="0.631",="2.163**"
="",="(0.438)",="(0.508)",="(0.665)"

="year=1975",="0.619",="1.243**",="1.862**"
="",="(0.383)",="(0.365)",="(0.545)"

="year=1982",="-0.237",="1.432**",="1.195**"
="",="(0.303)",="(0.440)",="(0.433)"

="year=1989",="0.351",="0.313",="0.664"
="",="(0.255)",="(0.348)",="(0.410)"

="year=1996",="0.221",="-0.0885",="0.133"
="",="(0.233)",="(0.272)",="(0.313)"

="year=2003",="0.0726",="-0.0833",="-0.0106"
="",="(0.343)",="(0.273)",="(0.305)"

="year=2010",="0.134",="0.255",="0.389"
="",="(0.235)",="(0.221)",="(0.241)"

="year=2017",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="ARG # post1990=0",="-2.032***",="-1.601***",="-3.633***"
="",="(0.213)",="(0.313)",="(0.390)"

="ARG # post1990=1",="0.446**",="-0.896***",="-0.450"
="",="(0.135)",="(0.238)",="(0.313)"

="BRA # post1990=0",="0.485*",="-0.391",="0.0943"
="",="(0.226)",="(0.422)",="(0.541)"

="BRA # post1990=1",="-0.793***",="-0.187",="-0.980*"
="",="(0.165)",="(0.328)",="(0.442)"

="BRB # post1990=0",="-0.263",="0.129",="-0.134"
="",="(0.237)",="(0.426)",="(0.508)"

="BRB # post1990=1",="-0.592**",="-1.044**",="-1.637***"
="",="(0.187)",="(0.340)",="(0.412)"

="CHL # post1990=0",="-0.784***",="-1.465***",="-2.248***"
="",="(0.186)",="(0.376)",="(0.443)"

="CHL # post1990=1",="0.139",="1.254***",="1.394***"
="",="(0.157)",="(0.302)",="(0.392)"

="COL # post1990=0",="-0.0200",="-0.826",="-0.846"
="",="(0.208)",="(0.460)",="(0.538)"

="COL # post1990=1",="-0.0835",="0.338",="0.254"
="",="(0.163)",="(0.323)",="(0.437)"

="CRI # post1990=0",="-0.538*",="-1.091**",="-1.629***"
="",="(0.205)",="(0.339)",="(0.412)"

="CRI # post1990=1",="0.416**",="-0.178",="0.238"
="",="(0.133)",="(0.234)",="(0.311)"

="DOM # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="DOM # post1990=1",="0.364**",="0.841**",="1.205***"
="",="(0.137)",="(0.254)",="(0.340)"

="ECU # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="ECU # post1990=1",="0.0999",="-0.946***",="-0.846*"
="",="(0.141)",="(0.261)",="(0.347)"

="GTM # post1990=0",="-0.733***",="-3.020***",="-3.753***"
="",="(0.203)",="(0.406)",="(0.527)"

="GTM # post1990=1",="-0.0730",="-0.670*",="-0.743*"
="",="(0.153)",="(0.281)",="(0.365)"

="JAM # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="JAM # post1990=1",="-0.360*",="-1.667***",="-2.028***"
="",="(0.161)",="(0.243)",="(0.292)"

="MEX # post1990=0",="-1.540***",="0.181",="-1.359*"
="",="(0.234)",="(0.473)",="(0.550)"

="MEX # post1990=1",="-0.362*",="-0.599*",="-0.961*"
="",="(0.153)",="(0.292)",="(0.379)"

="PER # post1990=0",="-2.657***",="-1.950***",="-4.607***"
="",="(0.212)",="(0.477)",="(0.584)"

="PER # post1990=1",="0.254",="0.571",="0.825"
="",="(0.160)",="(0.312)",="(0.418)"

="TTO # post1990=0",="-2.613***",="-0.762",="-3.375***"
="",="(0.239)",="(0.457)",="(0.475)"

="TTO # post1990=1",="2.427***",="-0.249",="2.178***"
="",="(0.155)",="(0.262)",="(0.329)"

="URY # post1990=0",="-0.835***",="-1.018**",="-1.854***"
="",="(0.197)",="(0.329)",="(0.429)"

="URY # post1990=1",="0.896***",="-0.681**",="0.216"
="",="(0.131)",="(0.210)",="(0.279)"

="nonLAC # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="nonLAC # post1990=1",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Constant",="2.603*",="-5.224**",="-2.621"
="",="(1.117)",="(1.956)",="(2.198)"

="Observations",="359",="359",="359"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
