"","est1","est2","est3"
"","b/se","b/se","b/se"
"ARG # post1990=0","-2.031529","-1.601156","-3.632685"
"",".2126144",".3129538",".3898776"
"ARG # post1990=1",".4462838","-.8959138","-.44963"
"",".134657",".2375354",".312653"
"BRA # post1990=0",".4851193","-.3908122",".094307"
"",".2262987",".4219567",".5408658"
"BRA # post1990=1","-.7930559","-.1865149","-.9795708"
"",".1652822",".3277537",".4422035"
"BRB # post1990=0","-.263239",".1294287","-.1338105"
"",".236657",".4263186",".5083806"
"BRB # post1990=1","-.5924738","-1.044348","-1.636822"
"",".1869594",".339777",".4122895"
"CHL # post1990=0","-.7835565","-1.464741","-2.248298"
"",".1855313",".3764205",".443371"
"CHL # post1990=1",".1392973","1.254303","1.393601"
"",".1571372",".3020998",".3923898"
"COL # post1990=0","-.0200153","-.8260994","-.8461147"
"",".208071",".4599371",".5382083"
"COL # post1990=1","-.0835291",".3376939",".2541648"
"",".1626178",".322981",".4368543"
"CRI # post1990=0","-.5378639","-1.09143","-1.629294"
"",".2046998",".3392171",".4121117"
"CRI # post1990=1",".4158223","-.177648",".2381743"
"",".1329607",".2342541",".3114595"
"DOM # post1990=0","0","0","0"
"",".",".","."
"DOM # post1990=1",".3641423",".840715","1.204857"
"",".136896",".2538273",".3397931"
"ECU # post1990=0","0","0","0"
"",".",".","."
"ECU # post1990=1",".0999409","-.9460526","-.8461118"
"",".1406534",".2607758",".3473578"
"GTM # post1990=0","-.7330743","-3.01964","-3.752715"
"",".2031356",".4061426",".5269912"
"GTM # post1990=1","-.0730389","-.6704071","-.743446"
"",".1534055",".2808033",".3647546"
"JAM # post1990=0","0","0","0"
"",".",".","."
"JAM # post1990=1","-.3604265","-1.667282","-2.027709"
"",".1611332",".2428234",".2915524"
"MEX # post1990=0","-1.54038",".1812128","-1.359167"
"",".23407",".4726651",".5500718"
"MEX # post1990=1","-.3624178","-.5987377","-.9611555"
"",".1531468",".2918456",".3785282"
"PER # post1990=0","-2.657027","-1.950333","-4.60736"
"",".212267",".4766092",".5844687"
"PER # post1990=1",".2541482",".571016",".8251641"
"",".1604319",".3120414",".4182012"
"TTO # post1990=0","-2.612629","-.7619261","-3.374554"
"",".2391842",".4565853",".4750399"
"TTO # post1990=1","2.427437","-.2494999","2.177936"
"",".1553897",".2620689",".3287921"
"URY # post1990=0","-.8352393","-1.018464","-1.853703"
"",".1967837",".3290829",".4287531"
"URY # post1990=1",".8964105","-.6807032",".2157073"
"",".130686",".2099206",".2788699"
"nonLAC # post1990=0","0","0","0"
"",".",".","."
"nonLAC # post1990=1","0","0","0"
"",".",".","."
"Observations","359","359","359"
