"","est1","est2","est3"
"","b/se","b/se","b/se"
"ARG # post1990=1",".360898","-.7110558","-.3501579"
"",".1401644",".2367446",".3031281"
"BRA # post1990=1","-.4361925",".079249","-.3569434"
"",".169525",".308319",".3937847"
"BRB # post1990=1","-.8560101","-.2811236","-1.137134"
"",".1793019",".3518458",".4069383"
"CHL # post1990=1",".2349051","1.644099","1.879004"
"",".1584558",".3020475",".3729571"
"COL # post1990=1","-.0200877",".6058991",".5858114"
"",".1781553",".3179086",".4089609"
"CRI # post1990=1",".4996466",".0042611",".5039077"
"",".1479899",".2547613",".3289595"
"DOM # post1990=1",".4826687",".9605893","1.443258"
"",".1550477",".2603941",".3418129"
"ECU # post1990=1",".1265491","-.6333983","-.5068492"
"",".1626818",".2599634",".3460312"
"GTM # post1990=1","-.028987","-.4163504","-.4453374"
"",".182626",".2789061",".3711731"
"JAM # post1990=1","-.2437088","-1.515458","-1.759166"
"",".1786224",".2464895",".313378"
"MEX # post1990=1","-.4442168","-.4574328","-.9016496"
"",".1567541",".3018044",".3700499"
"PER # post1990=1",".1291365",".8026771",".9318135"
"",".179857",".2918834",".387309"
"TTO # post1990=1","2.735161","-1.013653","1.721508"
"",".1594314",".2572047",".3074426"
"URY # post1990=1",".9260478","-.567288",".3587597"
"",".1369644",".2070927",".2689585"
"Observations","2542","2542","2542"
