
="",="(1)",="(2)",="(3)"
="",="Productivity growth",="Factor accumulation",="Per capita output growth"

="Gini (disp. inc.)",="-0.109",="0.396***",="0.287*"
="",="(0.0646)",="(0.105)",="(0.121)"

="Gini squared (disp. inc.)",="0.000791",="-0.00470***",="-0.00391**"
="",="(0.000791)",="(0.00123)",="(0.00143)"

="Per capita output gap (rel. USA)",="-0.156",="0.112",="-0.0444"
="",="(0.139)",="(0.228)",="(0.232)"

="year=1968",="1.601***",="0.938*",="2.539***"
="",="(0.410)",="(0.357)",="(0.577)"

="year=1969",="1.659***",="0.984**",="2.643***"
="",="(0.388)",="(0.351)",="(0.565)"

="year=1970",="1.807***",="0.995**",="2.801***"
="",="(0.343)",="(0.330)",="(0.542)"

="year=1971",="1.641***",="1.133**",="2.774***"
="",="(0.316)",="(0.343)",="(0.540)"

="year=1972",="1.657***",="1.294***",="2.951***"
="",="(0.299)",="(0.331)",="(0.506)"

="year=1973",="1.546***",="1.653***",="3.200***"
="",="(0.298)",="(0.421)",="(0.563)"

="year=1974",="1.195***",="1.885***",="3.080***"
="",="(0.297)",="(0.401)",="(0.535)"

="year=1975",="0.491",="1.929***",="2.420***"
="",="(0.293)",="(0.397)",="(0.502)"

="year=1976",="0.157",="1.954***",="2.111***"
="",="(0.284)",="(0.398)",="(0.507)"

="year=1977",="-0.126",="2.009***",="1.882***"
="",="(0.273)",="(0.399)",="(0.451)"

="year=1978",="-0.185",="2.060***",="1.875***"
="",="(0.289)",="(0.392)",="(0.411)"

="year=1979",="-0.278",="2.019***",="1.741***"
="",="(0.269)",="(0.377)",="(0.389)"

="year=1980",="-0.380",="1.840***",="1.460***"
="",="(0.270)",="(0.380)",="(0.390)"

="year=1981",="-0.358",="1.856***",="1.498***"
="",="(0.253)",="(0.376)",="(0.389)"

="year=1982",="-0.415",="1.748***",="1.333**"
="",="(0.256)",="(0.371)",="(0.406)"

="year=1983",="-0.537*",="1.510***",="0.972*"
="",="(0.245)",="(0.366)",="(0.379)"

="year=1984",="-0.502*",="1.346***",="0.844*"
="",="(0.249)",="(0.353)",="(0.379)"

="year=1985",="-0.742*",="1.083***",="0.341"
="",="(0.316)",="(0.313)",="(0.401)"

="year=1986",="-0.633*",="0.823**",="0.190"
="",="(0.292)",="(0.292)",="(0.377)"

="year=1987",="-0.417",="0.613*",="0.196"
="",="(0.287)",="(0.274)",="(0.374)"

="year=1988",="-0.137",="0.513",="0.376"
="",="(0.275)",="(0.269)",="(0.402)"

="year=1989",="0.112",="0.620*",="0.732"
="",="(0.286)",="(0.291)",="(0.423)"

="year=1990",="0.305",="0.608*",="0.913*"
="",="(0.278)",="(0.289)",="(0.411)"

="year=1991",="0.224",="0.463",="0.687"
="",="(0.302)",="(0.280)",="(0.426)"

="year=1992",="0.352",="0.310",="0.662"
="",="(0.299)",="(0.277)",="(0.429)"

="year=1993",="0.0340",="0.131",="0.166"
="",="(0.262)",="(0.245)",="(0.400)"

="year=1994",="0.0722",="0.127",="0.199"
="",="(0.245)",="(0.227)",="(0.386)"

="year=1995",="0.0158",="0.164",="0.180"
="",="(0.229)",="(0.226)",="(0.350)"

="year=1996",="0.130",="0.146",="0.277"
="",="(0.209)",="(0.215)",="(0.313)"

="year=1997",="0.232",="0.266",="0.498"
="",="(0.222)",="(0.208)",="(0.305)"

="year=1998",="0.189",="0.471*",="0.660*"
="",="(0.214)",="(0.195)",="(0.282)"

="year=1999",="0.138",="0.671***",="0.809**"
="",="(0.216)",="(0.175)",="(0.276)"

="year=2000",="0.200",="0.783***",="0.983**"
="",="(0.209)",="(0.181)",="(0.292)"

="year=2001",="0.136",="0.624**",="0.760*"
="",="(0.216)",="(0.210)",="(0.298)"

="year=2002",="0.147",="0.480*",="0.628*"
="",="(0.237)",="(0.219)",="(0.306)"

="year=2003",="0.0936",="0.358",="0.452"
="",="(0.232)",="(0.213)",="(0.315)"

="year=2004",="0.115",="0.400",="0.515"
="",="(0.219)",="(0.203)",="(0.316)"

="year=2005",="0.330",="0.339",="0.669*"
="",="(0.218)",="(0.196)",="(0.295)"

="year=2006",="0.463*",="0.400*",="0.863**"
="",="(0.228)",="(0.194)",="(0.290)"

="year=2007",="0.525*",="0.487*",="1.011**"
="",="(0.230)",="(0.190)",="(0.295)"

="year=2008",="0.275",="0.745**",="1.020**"
="",="(0.242)",="(0.218)",="(0.303)"

="year=2009",="0.0429",="0.580**",="0.623*"
="",="(0.228)",="(0.213)",="(0.299)"

="year=2010",="0.140",="0.641**",="0.781*"
="",="(0.249)",="(0.211)",="(0.309)"

="year=2011",="-0.0299",="0.601**",="0.571"
="",="(0.256)",="(0.187)",="(0.315)"

="year=2012",="-0.276",="0.536**",="0.260"
="",="(0.214)",="(0.198)",="(0.295)"

="year=2013",="-0.417",="0.326",="-0.0918"
="",="(0.217)",="(0.205)",="(0.287)"

="year=2014",="-0.491*",="0.178",="-0.313"
="",="(0.204)",="(0.212)",="(0.272)"

="year=2015",="-0.181",="0.0149",="-0.166"
="",="(0.163)",="(0.200)",="(0.222)"

="year=2016",="0.253**",="0.0183",="0.271"
="",="(0.0799)",="(0.0923)",="(0.145)"

="year=2017",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="ARG # post1990=0",="-1.522***",="-1.451***",="-2.973***"
="",="(0.171)",="(0.309)",="(0.343)"

="ARG # post1990=1",="0.361*",="-0.711**",="-0.350"
="",="(0.140)",="(0.237)",="(0.303)"

="BRA # post1990=0",="0.700***",="0.0436",="0.743"
="",="(0.195)",="(0.449)",="(0.484)"

="BRA # post1990=1",="-0.436*",="0.0792",="-0.357"
="",="(0.170)",="(0.308)",="(0.394)"

="BRB # post1990=0",="0.0201",="-0.949*",="-0.928"
="",="(0.219)",="(0.459)",="(0.474)"

="BRB # post1990=1",="-0.856***",="-0.281",="-1.137**"
="",="(0.179)",="(0.352)",="(0.407)"

="CHL # post1990=0",="-0.661***",="-1.214**",="-1.875***"
="",="(0.181)",="(0.421)",="(0.438)"

="CHL # post1990=1",="0.235",="1.644***",="1.879***"
="",="(0.158)",="(0.302)",="(0.373)"

="COL # post1990=0",="0.332",="-0.635",="-0.302"
="",="(0.193)",="(0.463)",="(0.487)"

="COL # post1990=1",="-0.0201",="0.606",="0.586"
="",="(0.178)",="(0.318)",="(0.409)"

="CRI # post1990=0",="-0.539**",="-0.920*",="-1.459***"
="",="(0.171)",="(0.363)",="(0.383)"

="CRI # post1990=1",="0.500**",="0.00426",="0.504"
="",="(0.148)",="(0.255)",="(0.329)"

="DOM # post1990=0",="-1.591***",="0.285",="-1.306**"
="",="(0.206)",="(0.343)",="(0.435)"

="DOM # post1990=1",="0.483**",="0.961***",="1.443***"
="",="(0.155)",="(0.260)",="(0.342)"

="ECU # post1990=0",="-0.753***",="-1.016*",="-1.768***"
="",="(0.210)",="(0.384)",="(0.466)"

="ECU # post1990=1",="0.127",="-0.633*",="-0.507"
="",="(0.163)",="(0.260)",="(0.346)"

="GTM # post1990=0",="-0.546**",="-2.054***",="-2.601***"
="",="(0.197)",="(0.405)",="(0.468)"

="GTM # post1990=1",="-0.0290",="-0.416",="-0.445"
="",="(0.183)",="(0.279)",="(0.371)"

="JAM # post1990=0",="0.534*",="-1.103***",="-0.568"
="",="(0.229)",="(0.307)",="(0.419)"

="JAM # post1990=1",="-0.244",="-1.515***",="-1.759***"
="",="(0.179)",="(0.246)",="(0.313)"

="MEX # post1990=0",="-1.130***",="0.342",="-0.788"
="",="(0.218)",="(0.498)",="(0.507)"

="MEX # post1990=1",="-0.444**",="-0.457",="-0.902*"
="",="(0.157)",="(0.302)",="(0.370)"

="PER # post1990=0",="-1.519***",="-1.015*",="-2.534***"
="",="(0.203)",="(0.471)",="(0.510)"

="PER # post1990=1",="0.129",="0.803**",="0.932*"
="",="(0.180)",="(0.292)",="(0.387)"

="TTO # post1990=0",="-2.397***",="-0.110",="-2.507***"
="",="(0.226)",="(0.490)",="(0.490)"

="TTO # post1990=1",="2.735***",="-1.014***",="1.722***"
="",="(0.159)",="(0.257)",="(0.307)"

="URY # post1990=0",="-1.049***",="-0.476",="-1.525***"
="",="(0.194)",="(0.343)",="(0.383)"

="URY # post1990=1",="0.926***",="-0.567**",="0.359"
="",="(0.137)",="(0.207)",="(0.269)"

="nonLAC # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="nonLAC # post1990=1",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Constant",="2.956*",="-6.485**",="-3.528"
="",="(1.178)",="(2.018)",="(2.277)"

="Observations",="2542",="2542",="2542"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
