
="",="(1)",="(2)",="(3)"
="",="Productivity growth",="Factor accumulation",="Per capita output growth"

="Gini (mkt. inc.)",="-0.152",="-0.105",="-0.258"
="",="(0.100)",="(0.125)",="(0.184)"

="Gini squared (mkt. inc.)",="0.00116",="0.000572",="0.00173"
="",="(0.00102)",="(0.00117)",="(0.00178)"

="Per capita output gap (rel. USA)",="0.0235",="-0.311*",="-0.287*"
="",="(0.102)",="(0.153)",="(0.138)"

="year=1968",="1.541***",="0.326",="1.867**"
="",="(0.437)",="(0.426)",="(0.579)"

="year=1975",="0.577",="0.867*",="1.443*"
="",="(0.396)",="(0.354)",="(0.572)"

="year=1982",="-0.262",="1.070*",="0.809"
="",="(0.294)",="(0.430)",="(0.430)"

="year=1989",="0.357",="-0.126",="0.232"
="",="(0.245)",="(0.342)",="(0.406)"

="year=1996",="0.234",="-0.377",="-0.144"
="",="(0.222)",="(0.268)",="(0.313)"

="year=2003",="0.115",="-0.234",="-0.119"
="",="(0.343)",="(0.274)",="(0.310)"

="year=2010",="0.164",="0.193",="0.358"
="",="(0.235)",="(0.211)",="(0.245)"

="year=2017",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="ARG # post1990=0",="-2.349***",="-1.672***",="-4.021***"
="",="(0.214)",="(0.291)",="(0.379)"

="ARG # post1990=1",="-0.00419",="-0.583**",="-0.587**"
="",="(0.113)",="(0.179)",="(0.202)"

="BRA # post1990=0",="0.511",="0.559",="1.070*"
="",="(0.315)",="(0.351)",="(0.466)"

="BRA # post1990=1",="-0.869***",="0.584**",="-0.285"
="",="(0.241)",="(0.210)",="(0.327)"

="BRB # post1990=0",="-0.595**",="1.119***",="0.524"
="",="(0.193)",="(0.290)",="(0.363)"

="BRB # post1990=1",="-0.995***",="-0.289",="-1.283***"
="",="(0.126)",="(0.154)",="(0.199)"

="CHL # post1990=0",="-0.909***",="-0.557",="-1.466***"
="",="(0.209)",="(0.317)",="(0.367)"

="CHL # post1990=1",="-0.0887",="2.011***",="1.922***"
="",="(0.146)",="(0.176)",="(0.238)"

="COL # post1990=0",="-0.242",="-0.0595",="-0.301"
="",="(0.219)",="(0.341)",="(0.371)"

="COL # post1990=1",="-0.302",="0.797***",="0.495"
="",="(0.162)",="(0.215)",="(0.259)"

="CRI # post1990=0",="-0.803***",="-0.491",="-1.294***"
="",="(0.196)",="(0.258)",="(0.305)"

="CRI # post1990=1",="0.191",="0.325",="0.516*"
="",="(0.127)",="(0.183)",="(0.208)"

="DOM # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="DOM # post1990=1",="0.156",="1.324***",="1.480***"
="",="(0.147)",="(0.211)",="(0.236)"

="ECU # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="ECU # post1990=1",="-0.114",="-0.588*",="-0.702**"
="",="(0.156)",="(0.230)",="(0.246)"

="GTM # post1990=0",="-0.780**",="-2.396***",="-3.176***"
="",="(0.249)",="(0.395)",="(0.466)"

="GTM # post1990=1",="-0.177",="-0.326",="-0.503"
="",="(0.182)",="(0.267)",="(0.283)"

="JAM # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="JAM # post1990=1",="-0.571**",="-1.557***",="-2.128***"
="",="(0.166)",="(0.258)",="(0.264)"

="MEX # post1990=0",="-1.913***",="1.044***",="-0.869*"
="",="(0.199)",="(0.291)",="(0.343)"

="MEX # post1990=1",="-0.722***",="-0.0197",="-0.741***"
="",="(0.119)",="(0.162)",="(0.200)"

="PER # post1990=0",="-2.704***",="-1.353***",="-4.057***"
="",="(0.266)",="(0.378)",="(0.429)"

="PER # post1990=1",="0.156",="0.981***",="1.137***"
="",="(0.187)",="(0.245)",="(0.284)"

="TTO # post1990=0",="-3.085***",="0.0956",="-2.989***"
="",="(0.163)",="(0.258)",="(0.253)"

="TTO # post1990=1",="2.020***",="0.234",="2.254***"
="",="(0.117)",="(0.163)",="(0.187)"

="URY # post1990=0",="-0.834***",="-0.103",="-0.937*"
="",="(0.204)",="(0.314)",="(0.390)"

="URY # post1990=1",="0.896***",="-0.0131",="0.883***"
="",="(0.134)",="(0.174)",="(0.221)"

="nonLAC # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="nonLAC # post1990=1",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Constant",="4.811",="5.011",="9.822*"
="",="(2.478)",="(3.283)",="(4.705)"

="Observations",="359",="359",="359"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
