"","est1","est2","est3"
"","b/se","b/se","b/se"
"ARG # post1990=0","-2.349232","-1.671725","-4.020957"
"",".213591",".290705",".3788057"
"ARG # post1990=1","-.0041945","-.5832823","-.5874768"
"",".1133951",".1786952",".2024413"
"BRA # post1990=0",".5105578",".5591509","1.069709"
"",".3152888",".3506347",".4660296"
"BRA # post1990=1","-.8686727",".5835595","-.2851132"
"",".2414634",".2101467",".327334"
"BRB # post1990=0","-.5954602","1.11919",".5237299"
"",".1926559",".2902912",".3633683"
"BRB # post1990=1","-.9946086","-.2885592","-1.283168"
"",".1259852",".153746",".1985236"
"CHL # post1990=0","-.9087489","-.557166","-1.465915"
"",".2093246",".3171672",".3673297"
"CHL # post1990=1","-.0887491","2.011236","1.922487"
"",".1456913",".1758128",".2381055"
"COL # post1990=0","-.241653","-.0595056","-.3011586"
"",".2190904",".341138",".3710085"
"COL # post1990=1","-.3022082",".7971801",".4949719"
"",".1618309",".2148862",".2585068"
"CRI # post1990=0","-.8025692","-.4911515","-1.293721"
"",".1958714",".25849",".3047577"
"CRI # post1990=1",".1906844",".3253713",".5160557"
"",".127352",".1830606",".2080419"
"DOM # post1990=0","0","0","0"
"",".",".","."
"DOM # post1990=1",".1563917","1.323677","1.480069"
"",".1465554",".2106847",".2356422"
"ECU # post1990=0","0","0","0"
"",".",".","."
"ECU # post1990=1","-.113662","-.5882328","-.7018948"
"",".1559392",".2298554",".2456787"
"GTM # post1990=0","-.7798142","-2.396433","-3.176247"
"",".2494233",".3950016",".4660195"
"GTM # post1990=1","-.1773829","-.3259421","-.5033251"
"",".1824004",".2670619",".2826608"
"JAM # post1990=0","0","0","0"
"",".",".","."
"JAM # post1990=1","-.5706758","-1.557229","-2.127905"
"",".1662263",".2583224",".2640144"
"MEX # post1990=0","-1.913289","1.043794","-.8694948"
"",".1985673",".2910334",".343019"
"MEX # post1990=1","-.7217665","-.0196778","-.7414442"
"",".1192885",".1621113",".1997646"
"PER # post1990=0","-2.70447","-1.352614","-4.057084"
"",".2657077",".3783259",".4285352"
"PER # post1990=1",".155734",".9807722","1.136506"
"",".1867107",".245032",".2835543"
"TTO # post1990=0","-3.084569",".0956351","-2.988934"
"",".1632595",".258304",".2526067"
"TTO # post1990=1","2.0198",".234495","2.254295"
"",".1173006",".16301",".1870335"
"URY # post1990=0","-.8338885","-.1032129","-.9371015"
"",".2036253",".3142474",".3899621"
"URY # post1990=1",".896118","-.0131052",".8830128"
"",".1338191",".1735168",".2211953"
"nonLAC # post1990=0","0","0","0"
"",".",".","."
"nonLAC # post1990=1","0","0","0"
"",".",".","."
"Observations","359","359","359"
