"","est1","est2","est3"
"","b/se","b/se","b/se"
"ARG # post1990=0","-2.103094","-1.53913","-3.642224"
"",".1805172",".263791",".313222"
"ARG # post1990=1","-.1621439","-.5077138","-.6698577"
"",".1277871",".1841833",".202291"
"BRA # post1990=0",".6491506",".8511389","1.500289"
"",".2590036",".4012897",".4433137"
"BRA # post1990=1","-.4714773",".7918628",".3203855"
"",".1783575",".2270576",".2869928"
"BRB # post1990=0","-.9792926",".437149","-.5421436"
"",".1872017",".2614017",".3025148"
"BRB # post1990=1","-1.285244",".4361039","-.8491401"
"",".1322292",".1448378",".1884069"
"CHL # post1990=0","-.5397549","-.5389575","-1.078712"
"",".2100355",".3553777",".3559887"
"CHL # post1990=1",".0272931","2.34585","2.373143"
"",".147336",".1831799",".2297846"
"COL # post1990=0",".0801028",".0690893",".1491921"
"",".2146846",".3679585",".3558259"
"COL # post1990=1","-.2557292",".9451278",".6893986"
"",".1765057",".2308523",".2696174"
"CRI # post1990=0","-.9136445","-.342935","-1.25658"
"",".1818796",".2744445",".3081362"
"CRI # post1990=1",".2085554",".4536829",".6622383"
"",".149419",".1964289",".2239009"
"DOM # post1990=0","-1.412602","1.00578","-.4068219"
"",".2463946",".342733",".4330985"
"DOM # post1990=1",".2450595","1.354042","1.599102"
"",".172468",".2297888",".2566512"
"ECU # post1990=0","0","0","0"
"",".",".","."
"ECU # post1990=1","-.1267925","-.3823024","-.5090949"
"",".1849882",".2490829",".2720456"
"GTM # post1990=0","-.3593258","-2.094089","-2.453415"
"",".2460986",".3824806",".4423685"
"GTM # post1990=1","-.1597933","-.1585065","-.3182998"
"",".215915",".2904475",".3164579"
"JAM # post1990=0","0","0","0"
"",".",".","."
"JAM # post1990=1","-.6817227","-1.575717","-2.257439"
"",".196506",".2743069",".2824187"
"MEX # post1990=0","-1.637427","1.175771","-.4616566"
"",".2020111",".30987",".3418767"
"MEX # post1990=1","-.8270776",".0678384","-.7592393"
"",".1314527",".1681072",".2007183"
"PER # post1990=0","-1.78472","-.9314401","-2.71616"
"",".2555942",".410024",".4103128"
"PER # post1990=1",".0351276","1.124922","1.16005"
"",".2022388",".2702737",".3061145"
"TTO # post1990=0","-3.025201",".3862564","-2.638945"
"",".1559593",".2560139",".2285355"
"TTO # post1990=1","2.306431","-.6529771","1.653454"
"",".1691477",".2069594",".212077"
"URY # post1990=0","-.1117257","-.0922358","-.2039615"
"",".1919505",".2876858",".349211"
"URY # post1990=1",".9632036",".0628582","1.026062"
"",".144376",".1822492",".2217749"
"nonLAC # post1990=0","0","0","0"
"",".",".","."
"nonLAC # post1990=1","0","0","0"
"",".",".","."
"Observations","2234","2234","2234"
