
="",="(1)",="(2)",="(3)"
="",="Productivity growth",="Factor accumulation",="Per capita output growth"

="Gini (mkt. inc.)",="-0.206**",="-0.152",="-0.358**"
="",="(0.0675)",="(0.0978)",="(0.129)"

="Gini squared (mkt. inc.)",="0.00159*",="0.000981",="0.00257*"
="",="(0.000634)",="(0.000903)",="(0.00121)"

="Per capita output gap (rel. USA)",="0.0356",="-0.237",="-0.201"
="",="(0.112)",="(0.159)",="(0.154)"

="year=1968",="1.365***",="0.587",="1.952***"
="",="(0.396)",="(0.406)",="(0.520)"

="year=1969",="1.584***",="0.663",="2.247***"
="",="(0.436)",="(0.396)",="(0.564)"

="year=1970",="1.872***",="0.669",="2.541***"
="",="(0.442)",="(0.404)",="(0.685)"

="year=1971",="1.493***",="0.558",="2.051**"
="",="(0.396)",="(0.448)",="(0.704)"

="year=1972",="1.496***",="0.658",="2.154***"
="",="(0.376)",="(0.391)",="(0.623)"

="year=1973",="1.620***",="0.921*",="2.541***"
="",="(0.351)",="(0.364)",="(0.582)"

="year=1974",="1.184**",="1.156**",="2.341***"
="",="(0.392)",="(0.342)",="(0.593)"

="year=1975",="0.360",="1.119**",="1.478*"
="",="(0.385)",="(0.341)",="(0.565)"

="year=1976",="0.166",="1.394**",="1.560**"
="",="(0.336)",="(0.423)",="(0.550)"

="year=1977",="-0.233",="1.504**",="1.271*"
="",="(0.293)",="(0.448)",="(0.506)"

="year=1978",="-0.242",="1.667***",="1.426**"
="",="(0.291)",="(0.450)",="(0.444)"

="year=1979",="-0.319",="1.705***",="1.386**"
="",="(0.275)",="(0.428)",="(0.429)"

="year=1980",="-0.409",="1.480***",="1.071*"
="",="(0.281)",="(0.413)",="(0.423)"

="year=1981",="-0.484",="1.536***",="1.052*"
="",="(0.259)",="(0.421)",="(0.408)"

="year=1982",="-0.458",="1.352**",="0.895*"
="",="(0.266)",="(0.405)",="(0.421)"

="year=1983",="-0.673*",="1.120**",="0.448"
="",="(0.254)",="(0.400)",="(0.375)"

="year=1984",="-0.594*",="0.967*",="0.374"
="",="(0.261)",="(0.384)",="(0.357)"

="year=1985",="-0.659*",="0.644",="-0.0148"
="",="(0.269)",="(0.341)",="(0.343)"

="year=1986",="-0.577*",="0.383",="-0.194"
="",="(0.259)",="(0.314)",="(0.321)"

="year=1987",="-0.473",="0.224",="-0.249"
="",="(0.253)",="(0.285)",="(0.331)"

="year=1988",="-0.163",="0.120",="-0.0433"
="",="(0.240)",="(0.280)",="(0.354)"

="year=1989",="0.178",="0.196",="0.374"
="",="(0.216)",="(0.307)",="(0.375)"

="year=1990",="0.327",="0.215",="0.543"
="",="(0.214)",="(0.304)",="(0.362)"

="year=1991",="0.404",="0.0430",="0.447"
="",="(0.229)",="(0.290)",="(0.378)"

="year=1992",="0.402",="-0.0224",="0.380"
="",="(0.261)",="(0.296)",="(0.408)"

="year=1993",="0.0553",="-0.137",="-0.0818"
="",="(0.233)",="(0.242)",="(0.366)"

="year=1994",="0.137",="-0.0566",="0.0802"
="",="(0.226)",="(0.225)",="(0.356)"

="year=1995",="0.0375",="-0.0548",="-0.0173"
="",="(0.235)",="(0.230)",="(0.361)"

="year=1996",="0.148",="-0.0210",="0.127"
="",="(0.205)",="(0.218)",="(0.319)"

="year=1997",="0.184",="0.0924",="0.277"
="",="(0.225)",="(0.207)",="(0.319)"

="year=1998",="0.0743",="0.272",="0.347"
="",="(0.210)",="(0.181)",="(0.283)"

="year=1999",="-0.0419",="0.464**",="0.422"
="",="(0.203)",="(0.165)",="(0.280)"

="year=2000",="0.0953",="0.558**",="0.654*"
="",="(0.205)",="(0.175)",="(0.297)"

="year=2001",="-0.0144",="0.389",="0.374"
="",="(0.210)",="(0.207)",="(0.297)"

="year=2002",="0.0797",="0.237",="0.317"
="",="(0.236)",="(0.211)",="(0.303)"

="year=2003",="0.0284",="0.128",="0.156"
="",="(0.229)",="(0.209)",="(0.312)"

="year=2004",="0.0569",="0.189",="0.246"
="",="(0.215)",="(0.202)",="(0.308)"

="year=2005",="0.283",="0.139",="0.423"
="",="(0.213)",="(0.197)",="(0.284)"

="year=2006",="0.419",="0.213",="0.631*"
="",="(0.225)",="(0.195)",="(0.283)"

="year=2007",="0.481*",="0.311",="0.792**"
="",="(0.228)",="(0.191)",="(0.289)"

="year=2008",="0.231",="0.583*",="0.814**"
="",="(0.246)",="(0.224)",="(0.301)"

="year=2009",="-0.00178",="0.429",="0.427"
="",="(0.234)",="(0.220)",="(0.299)"

="year=2010",="0.0920",="0.503*",="0.595"
="",="(0.256)",="(0.218)",="(0.310)"

="year=2011",="-0.0806",="0.476*",="0.395"
="",="(0.262)",="(0.190)",="(0.317)"

="year=2012",="-0.332",="0.430*",="0.0979"
="",="(0.217)",="(0.201)",="(0.297)"

="year=2013",="-0.477*",="0.230",="-0.247"
="",="(0.218)",="(0.207)",="(0.288)"

="year=2014",="-0.554**",="0.0854",="-0.469"
="",="(0.202)",="(0.212)",="(0.269)"

="year=2015",="-0.236",="-0.0310",="-0.267"
="",="(0.158)",="(0.197)",="(0.217)"

="year=2016",="0.224**",="0.0286",="0.253"
="",="(0.0740)",="(0.0939)",="(0.136)"

="year=2017",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="ARG # post1990=0",="-2.103***",="-1.539***",="-3.642***"
="",="(0.181)",="(0.264)",="(0.313)"

="ARG # post1990=1",="-0.162",="-0.508**",="-0.670**"
="",="(0.128)",="(0.184)",="(0.202)"

="BRA # post1990=0",="0.649*",="0.851*",="1.500**"
="",="(0.259)",="(0.401)",="(0.443)"

="BRA # post1990=1",="-0.471*",="0.792***",="0.320"
="",="(0.178)",="(0.227)",="(0.287)"

="BRB # post1990=0",="-0.979***",="0.437",="-0.542"
="",="(0.187)",="(0.261)",="(0.303)"

="BRB # post1990=1",="-1.285***",="0.436**",="-0.849***"
="",="(0.132)",="(0.145)",="(0.188)"

="CHL # post1990=0",="-0.540*",="-0.539",="-1.079**"
="",="(0.210)",="(0.355)",="(0.356)"

="CHL # post1990=1",="0.0273",="2.346***",="2.373***"
="",="(0.147)",="(0.183)",="(0.230)"

="COL # post1990=0",="0.0801",="0.0691",="0.149"
="",="(0.215)",="(0.368)",="(0.356)"

="COL # post1990=1",="-0.256",="0.945***",="0.689*"
="",="(0.177)",="(0.231)",="(0.270)"

="CRI # post1990=0",="-0.914***",="-0.343",="-1.257***"
="",="(0.182)",="(0.274)",="(0.308)"

="CRI # post1990=1",="0.209",="0.454*",="0.662**"
="",="(0.149)",="(0.196)",="(0.224)"

="DOM # post1990=0",="-1.413***",="1.006**",="-0.407"
="",="(0.246)",="(0.343)",="(0.433)"

="DOM # post1990=1",="0.245",="1.354***",="1.599***"
="",="(0.172)",="(0.230)",="(0.257)"

="ECU # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="ECU # post1990=1",="-0.127",="-0.382",="-0.509"
="",="(0.185)",="(0.249)",="(0.272)"

="GTM # post1990=0",="-0.359",="-2.094***",="-2.453***"
="",="(0.246)",="(0.382)",="(0.442)"

="GTM # post1990=1",="-0.160",="-0.159",="-0.318"
="",="(0.216)",="(0.290)",="(0.316)"

="JAM # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="JAM # post1990=1",="-0.682***",="-1.576***",="-2.257***"
="",="(0.197)",="(0.274)",="(0.282)"

="MEX # post1990=0",="-1.637***",="1.176***",="-0.462"
="",="(0.202)",="(0.310)",="(0.342)"

="MEX # post1990=1",="-0.827***",="0.0678",="-0.759***"
="",="(0.131)",="(0.168)",="(0.201)"

="PER # post1990=0",="-1.785***",="-0.931*",="-2.716***"
="",="(0.256)",="(0.410)",="(0.410)"

="PER # post1990=1",="0.0351",="1.125***",="1.160***"
="",="(0.202)",="(0.270)",="(0.306)"

="TTO # post1990=0",="-3.025***",="0.386",="-2.639***"
="",="(0.156)",="(0.256)",="(0.229)"

="TTO # post1990=1",="2.306***",="-0.653**",="1.653***"
="",="(0.169)",="(0.207)",="(0.212)"

="URY # post1990=0",="-0.112",="-0.0922",="-0.204"
="",="(0.192)",="(0.288)",="(0.349)"

="URY # post1990=1",="0.963***",="0.0629",="1.026***"
="",="(0.144)",="(0.182)",="(0.222)"

="nonLAC # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="nonLAC # post1990=1",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Constant",="6.472***",="6.014*",="12.49***"
="",="(1.749)",="(2.630)",="(3.363)"

="Observations",="2234",="2234",="2234"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
