
="",="(1)",="(2)",="(3)"
="",="Productivity growth",="Factor accumulation",="Per capita output growth"

="Gini (disp. inc.)",="-0.0488***",="0.0368",="-0.0121"
="",="(0.0137)",="(0.0388)",="(0.0365)"

="Per capita output gap (rel. USA)",="-0.138",="0.000552",="-0.137"
="",="(0.138)",="(0.263)",="(0.248)"

="year=1968",="0.0562",="-0.378",="-0.322"
="",="(0.381)",="(0.407)",="(0.578)"

="year=1969",="0.112",="-0.320",="-0.208"
="",="(0.366)",="(0.399)",="(0.566)"

="year=1970",="0.260",="-0.311",="-0.0507"
="",="(0.314)",="(0.393)",="(0.522)"

="year=1971",="0.0948",="-0.176",="-0.0812"
="",="(0.300)",="(0.383)",="(0.509)"

="year=1972",="0.113",="-0.0277",="0.0853"
="",="(0.282)",="(0.362)",="(0.472)"

="year=1973",="0.000174",="0.343",="0.343"
="",="(0.298)",="(0.385)",="(0.511)"

="year=1974",="-0.353",="0.588",="0.235"
="",="(0.299)",="(0.372)",="(0.511)"

="year=1975",="-1.048***",="0.576",="-0.472"
="",="(0.296)",="(0.372)",="(0.502)"

="year=1976",="-1.377***",="0.576",="-0.801"
="",="(0.293)",="(0.352)",="(0.486)"

="year=1977",="-1.658***",="0.614",="-1.044*"
="",="(0.279)",="(0.350)",="(0.480)"

="year=1978",="-1.716***",="0.659*",="-1.057*"
="",="(0.288)",="(0.329)",="(0.459)"

="year=1979",="-1.808***",="0.612",="-1.196**"
="",="(0.279)",="(0.308)",="(0.428)"

="year=1980",="-1.912***",="0.446",="-1.466**"
="",="(0.282)",="(0.305)",="(0.427)"

="year=1981",="-1.891***",="0.468",="-1.422**"
="",="(0.268)",="(0.303)",="(0.420)"

="year=1982",="-1.948***",="0.361",="-1.587***"
="",="(0.262)",="(0.300)",="(0.419)"

="year=1983",="-2.070***",="0.118",="-1.952***"
="",="(0.253)",="(0.288)",="(0.386)"

="year=1984",="-2.036***",="-0.0377",="-2.073***"
="",="(0.252)",="(0.287)",="(0.378)"

="year=1985",="-2.277***",="-0.295",="-2.571***"
="",="(0.321)",="(0.291)",="(0.385)"

="year=1986",="-2.169***",="-0.547",="-2.716***"
="",="(0.290)",="(0.297)",="(0.383)"

="year=1987",="-1.954***",="-0.749*",="-2.703***"
="",="(0.287)",="(0.313)",="(0.379)"

="year=1988",="-1.675***",="-0.849*",="-2.524***"
="",="(0.271)",="(0.321)",="(0.399)"

="year=1989",="-1.424***",="-0.753*",="-2.176***"
="",="(0.282)",="(0.351)",="(0.432)"

="year=1990",="-1.231***",="-0.757*",="-1.989***"
="",="(0.272)",="(0.366)",="(0.429)"

="year=1991",="-1.314***",="-0.892*",="-2.206***"
="",="(0.304)",="(0.362)",="(0.449)"

="year=1992",="-1.188***",="-1.031**",="-2.219***"
="",="(0.318)",="(0.349)",="(0.440)"

="year=1993",="0.0677",="-0.0691",="-0.00138"
="",="(0.264)",="(0.251)",="(0.412)"

="year=1994",="0.105",="-0.0703",="0.0351"
="",="(0.248)",="(0.233)",="(0.396)"

="year=1995",="0.0479",="-0.0274",="0.0205"
="",="(0.230)",="(0.227)",="(0.355)"

="year=1996",="0.162",="-0.0427",="0.119"
="",="(0.209)",="(0.213)",="(0.315)"

="year=1997",="0.264",="0.0803",="0.344"
="",="(0.223)",="(0.202)",="(0.308)"

="year=1998",="0.220",="0.287",="0.507"
="",="(0.216)",="(0.191)",="(0.290)"

="year=1999",="0.169",="0.487**",="0.656*"
="",="(0.217)",="(0.175)",="(0.287)"

="year=2000",="0.230",="0.604**",="0.835**"
="",="(0.212)",="(0.181)",="(0.306)"

="year=2001",="0.166",="0.447*",="0.613"
="",="(0.223)",="(0.212)",="(0.315)"

="year=2002",="0.177",="0.306",="0.483"
="",="(0.246)",="(0.223)",="(0.325)"

="year=2003",="0.122",="0.189",="0.311"
="",="(0.241)",="(0.220)",="(0.334)"

="year=2004",="0.143",="0.237",="0.380"
="",="(0.226)",="(0.211)",="(0.332)"

="year=2005",="0.356",="0.186",="0.541"
="",="(0.224)",="(0.202)",="(0.305)"

="year=2006",="0.487*",="0.256",="0.743*"
="",="(0.233)",="(0.197)",="(0.296)"

="year=2007",="0.548*",="0.350",="0.898**"
="",="(0.236)",="(0.191)",="(0.298)"

="year=2008",="0.296",="0.619**",="0.915**"
="",="(0.247)",="(0.214)",="(0.303)"

="year=2009",="0.0628",="0.462*",="0.525"
="",="(0.231)",="(0.207)",="(0.296)"

="year=2010",="0.158",="0.532*",="0.690*"
="",="(0.252)",="(0.202)",="(0.304)"

="year=2011",="-0.0130",="0.500**",="0.487"
="",="(0.258)",="(0.175)",="(0.309)"

="year=2012",="-0.261",="0.448*",="0.186"
="",="(0.218)",="(0.187)",="(0.291)"

="year=2013",="-0.405",="0.250",="-0.155"
="",="(0.221)",="(0.195)",="(0.283)"

="year=2014",="-0.479*",="0.107",="-0.372"
="",="(0.206)",="(0.203)",="(0.268)"

="year=2015",="-0.168",="-0.0588",="-0.227"
="",="(0.164)",="(0.191)",="(0.219)"

="year=2016",="0.252**",="0.0192",="0.272"
="",="(0.0802)",="(0.0879)",="(0.142)"

="year=2017",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="ARG # post1990=0",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="ARG # post1990=1",="0.326*",="-0.502",="-0.176"
="",="(0.135)",="(0.303)",="(0.328)"

="BRA # post1990=0",="2.361***",="0.671",="3.032***"
="",="(0.194)",="(0.544)",="(0.509)"

="BRA # post1990=1",="-0.383*",="-0.239",="-0.622"
="",="(0.190)",="(0.516)",="(0.523)"

="BRB # post1990=0",="1.558***",="0.411",="1.969***"
="",="(0.224)",="(0.478)",="(0.453)"

="BRB # post1990=1",="-0.877***",="-0.158",="-1.034*"
="",="(0.189)",="(0.527)",="(0.511)"

="CHL # post1990=0",="0.902***",="-0.00349",="0.898*"
="",="(0.164)",="(0.421)",="(0.388)"

="CHL # post1990=1",="0.237",="1.629***",="1.866***"
="",="(0.174)",="(0.472)",="(0.474)"

="COL # post1990=0",="1.965***",="0.159",="2.124***"
="",="(0.209)",="(0.562)",="(0.524)"

="COL # post1990=1",="0.0494",="0.192",="0.242"
="",="(0.198)",="(0.533)",="(0.543)"

="CRI # post1990=0",="0.976***",="0.576*",="1.552***"
="",="(0.0968)",="(0.221)",="(0.203)"

="CRI # post1990=1",="0.482**",="0.110",="0.592"
="",="(0.152)",="(0.360)",="(0.383)"

="DOM # post1990=0",="-0.0268",="1.487***",="1.460***"
="",="(0.164)",="(0.304)",="(0.325)"

="DOM # post1990=1",="0.487**",="0.935*",="1.422**"
="",="(0.165)",="(0.385)",="(0.413)"

="ECU # post1990=0",="0.840***",="0.0183",="0.858"
="",="(0.202)",="(0.437)",="(0.436)"

="ECU # post1990=1",="0.144",="-0.738",="-0.594"
="",="(0.172)",="(0.381)",="(0.416)"

="GTM # post1990=0",="1.087***",="-1.265**",="-0.178"
="",="(0.173)",="(0.410)",="(0.417)"

="GTM # post1990=1",="0.00936",="-0.644",="-0.635"
="",="(0.190)",="(0.404)",="(0.444)"

="JAM # post1990=0",="2.065***",="0.301",="2.365***"
="",="(0.159)",="(0.191)",="(0.235)"

="JAM # post1990=1",="-0.278",="-1.313***",="-1.591***"
="",="(0.176)",="(0.261)",="(0.315)"

="MEX # post1990=0",="0.456",="1.412*",="1.869**"
="",="(0.242)",="(0.598)",="(0.549)"

="MEX # post1990=1",="-0.448*",="-0.432",="-0.881"
="",="(0.170)",="(0.465)",="(0.465)"

="PER # post1990=0",="0.180",="-0.610",="-0.431"
="",="(0.201)",="(0.578)",="(0.547)"

="PER # post1990=1",="0.192",="0.430",="0.622"
="",="(0.191)",="(0.453)",="(0.484)"

="TTO # post1990=0",="-0.897***",="1.471**",="0.574"
="",="(0.217)",="(0.453)",="(0.423)"

="TTO # post1990=1",="2.683***",="-0.702*",="1.980***"
="",="(0.147)",="(0.313)",="(0.330)"

="URY # post1990=0",="0.456**",="1.076***",="1.532***"
="",="(0.141)",="(0.201)",="(0.216)"

="URY # post1990=1",="0.875***",="-0.265",="0.610*"
="",="(0.122)",="(0.211)",="(0.252)"

="nonLAC # post1990=0",="1.578***",="1.122***",="2.699***"
="",="(0.156)",="(0.296)",="(0.321)"

="nonLAC # post1990=1",="0",="0",="0"
="",="(.)",="(.)",="(.)"

="Constant",="1.858***",="0.0518",="1.909"
="",="(0.402)",="(1.126)",="(1.076)"

="Observations",="2542",="2542",="2542"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
