"","est1","est2","est3"
"","b","b","b"
"ARG","-.7431544","-1.207604","-1.950759"
"BRA","-.0984752","-.258097","-.3565722"
"BRB","-.5129692","-.7594629","-1.272432"
"CHL","-.2117736",".1142465","-.0975271"
"COL","-.0323002","-.042902","-.0752022"
"CRI","-.0089848","-.5957399","-.6047248"
"DOM",".2965869",".7893092","1.085896"
"ECU",".0326975","-.9972336","-.9645361"
"GTM","-.2148782","-1.151407","-1.366286"
"JAM","-.4308225","-1.710637","-2.141459"
"MEX","-.822509","-.2427748","-1.065284"
"PER","-.6862769","-.2604849","-.9467618"
"TTO",".4519027","-.4295757",".0223271"
"URY",".5345466","-.7590673","-.2245208"
"nonLAC","0","0","0"
"Observations","359","359","359"
