"","est1","est2","est3"
"","b","b","b"
"ARG","-.6105448","-1.158774","-1.769318"
"BRA",".1898798","-.1223239",".0675558"
"BRB","-.6678538","-.4975664","-1.16542"
"CHL",".0555365",".1910022",".2465387"
"COL",".203216","-.0509732",".1522428"
"CRI","-.0107444","-.5639898","-.5747343"
"DOM",".3839407",".7613196","1.14526"
"ECU",".0873473","-.8162119","-.7288646"
"GTM","-.1033808","-1.026697","-1.130078"
"JAM","-.4857792","-1.718375","-2.204155"
"MEX","-.6997925","-.1971725","-.896965"
"PER","-.5160629","-.1706876","-.6867505"
"TTO",".0479695","-.7958585","-.7478889"
"URY",".725442","-.7622652","-.0368232"
"nonLAC","0","0","0"
"Observations","2234","2234","2234"
