"","est1","est2","est3"
"","b","b","b"
"ARG","-1.142363","-1.095883","-2.238246"
"BRA","-.1093103",".6098497",".5005393"
"BRB","-.9060812",".055948","-.8501333"
"CHL","-.3980966",".936787",".5386904"
"COL","-.2519403",".5278278",".2758875"
"CRI","-.264219","-.0479308","-.3121498"
"DOM",".0866981","1.285377","1.372075"
"ECU","-.1832244","-.6246826","-.807907"
"GTM","-.3064071","-.7407496","-1.047157"
"JAM","-.6479796","-1.594763","-2.242742"
"MEX","-1.196218",".459235","-.736983"
"PER","-.7605619",".2232689","-.5372931"
"TTO",".0045674",".194616",".1991834"
"URY",".5359778","-.0420851",".4938927"
"nonLAC","0","0","0"
"Observations","359","359","359"
