"","est1","est2","est3"
"","b","b","b"
"ARG","-1.109684","-1.003297","-2.112981"
"BRA",".1353111",".8654153","1.000726"
"BRB","-1.195447",".4394064","-.7560406"
"CHL","-.1879672","1.131659",".9436918"
"COL","-.0942061",".621174",".5269678"
"CRI","-.3203668",".0833809","-.2369859"
"DOM",".1233439","1.311007","1.434351"
"ECU","-.1915943","-.4178445","-.6094388"
"GTM","-.2222384","-.5656036","-.787842"
"JAM","-.7543765","-1.615508","-2.369885"
"MEX","-1.194596",".650657","-.5439389"
"PER","-.623319",".3862176","-.2371014"
"TTO","-.5106517","-.0618969","-.5725486"
"URY",".7340764",".0242108",".7582872"
"nonLAC","0","0","0"
"Observations","2234","2234","2234"
