"","est1","est2","est3"
"","b","b","b"
"ARG","-.5965533","-.7853279","-1.381881"
"BRA",".2569976","-.3033471","-.0463495"
"BRB","-.4596178","-.3764979","-.8361157"
"CHL","-.1672144",".2871763",".1199618"
"COL",".2661093","-.3230686","-.0569594"
"CRI","-.0204834","-.1880611","-.2085446"
"DOM",".0023692",".7963553",".7987246"
"ECU","-.0451553","-.8235587","-.8687141"
"GTM","-.1526783","-1.243656","-1.396334"
"JAM","-.1826975","-1.248844","-1.431541"
"MEX","-.7312998","-.0250392","-.756339"
"PER","-.4868111","-.5216731","-1.008484"
"TTO","-.4342142","-.0045719","-.4387861"
"URY",".2253785","-.1991684",".0262101"
"nonLAC","0","0","0"
"Observations","2542","2542","2542"
