"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA)","-.2218646","-.1135764","-.3354411"
"year=1968","1.308839",".3389078","1.647746"
"year=1975",".3719181",".9821404","1.354058"
"year=1982","-.5134959","1.097385",".5838888"
"year=1989",".09051","-.0829444",".0075656"
"year=1996",".2663645","-.2430378",".0233267"
"year=2003",".112145","-.1735402","-.0613952"
"year=2010",".1720153",".1981529",".3701682"
"year=2017","0","0","0"
"Constant","1.913713",".7286447","2.642358"
"Observations","359","359","359"
