"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA)","-.2363221","-.0301115","-.2664336"
"year=1968","1.304312",".3650404","1.669352"
"year=1975",".3629541","1.033891","1.396845"
"year=1982","-.5348714","1.220788",".6859169"
"year=1989",".0669591",".0530177",".1199768"
"year=1996",".2486157","-.140572",".1080437"
"year=2003",".100865","-.1084193","-.0075543"
"year=2010",".1652422",".2372548",".402497"
"year=2017","0","0","0"
"Constant","2.745504","-4.073388","-1.327884"
"Observations","359","359","359"
