"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA)","-.3158287",".0960951","-.2197336"
"year=1968","1.168091",".7763601","1.944451"
"year=1969","1.313262",".9090338","2.222295"
"year=1970","1.674828","1.064675","2.739502"
"year=1971","1.33194",".9880974","2.320037"
"year=1972","1.308733","1.123964","2.432698"
"year=1973","1.465199","1.343172","2.808371"
"year=1974","1.013671","1.479597","2.493268"
"year=1975",".2174989","1.451928","1.669427"
"year=1976",".0698536","1.706408","1.776262"
"year=1977","-.3298848","1.831313","1.501428"
"year=1978","-.4852911","1.941508","1.456217"
"year=1979","-.5410899","1.992418","1.451328"
"year=1980","-.6150017","1.736646","1.121645"
"year=1981","-.6729406","1.794204","1.121263"
"year=1982","-.6533707","1.619118",".9657477"
"year=1983","-.8793634","1.396964",".5176007"
"year=1984","-.7915863","1.293569",".5019825"
"year=1985","-.875063",".9707715",".0957084"
"year=1986","-.780604",".6983732","-.0822308"
"year=1987","-.6829247",".4527836","-.2301411"
"year=1988","-.3797809",".3510209","-.02876"
"year=1989","-.0451565",".442143",".3969865"
"year=1990",".1070139",".4474887",".5545026"
"year=1991",".1936155",".2674232",".4610387"
"year=1992",".1779566",".1963435",".3743"
"year=1993",".0814154",".1802684",".2616837"
"year=1994",".1526582",".2062634",".3589215"
"year=1995",".0499919",".2150727",".2650646"
"year=1996",".1616047",".2215078",".3831125"
"year=1997",".1954979",".3107509",".5062487"
"year=1998",".0746142",".4865811",".5611954"
"year=1999","-.043087",".6599284",".6168414"
"year=2000",".0859815",".7408216",".8268031"
"year=2001","-.0243101",".5532897",".5289796"
"year=2002",".0562123",".3989412",".4551534"
"year=2003",".0022688",".280132",".2824008"
"year=2004",".028644",".3322021",".360846"
"year=2005",".2507533",".277728",".5284813"
"year=2006",".3442049",".3550793",".6992842"
"year=2007",".4109662",".4416641",".8526302"
"year=2008",".1670677",".7015566",".8686244"
"year=2009","-.0584584",".5341954",".4757369"
"year=2010",".0444586",".5942009",".6386595"
"year=2011","-.1051893",".5555683",".450379"
"year=2012","-.3381777",".490099",".1519212"
"year=2013","-.4752024",".2819581","-.1932444"
"year=2014","-.5462339",".1327702","-.4134637"
"year=2015","-.2132711","-.0228686","-.2361397"
"year=2016",".2528097",".0314224",".2842321"
"year=2017","0","0","0"
"Constant","3.596022","-5.156227","-1.560205"
"Observations","2234","2234","2234"
