"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA)",".0511051","-.2715396","-.2204345"
"year=1968","1.340084",".1887553","1.528839"
"year=1975",".3486412",".8292917","1.177933"
"year=1982","-.5373909","1.004061",".4666701"
"year=1989",".098657","-.2055634","-.1069064"
"year=1996",".265196","-.3333033","-.0681073"
"year=2003",".1421937","-.2174096","-.0752159"
"year=2010",".1856179",".1938943",".3795122"
"year=2017","0","0","0"
"Constant","2.511926","3.057624","5.56955"
"Observations","359","359","359"
