"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA)",".0538626","-.2699777","-.2161151"
"year=1968","1.310495",".1719952","1.48249"
"year=1975",".3045843",".8043367","1.108921"
"year=1982","-.5785924",".9807234",".402131"
"year=1989",".0631123","-.2256969","-.1625846"
"year=1996",".2431715","-.3457786","-.1026072"
"year=2003",".1379682","-.2198031","-.0818349"
"year=2010",".1870219",".1946896",".3817115"
"year=2017","0","0","0"
"Constant","5.328803","4.653177","9.981981"
"Observations","359","359","359"
