"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA)",".1321156","-.1739713","-.0418557"
"year=1968","1.353994",".3302837","1.684278"
"year=1969","1.403769",".386781","1.79055"
"year=1970","1.591185",".4242413","2.015426"
"year=1971","1.422145",".556539","1.978684"
"year=1972","1.274896",".7091584","1.984055"
"year=1973","1.199233","1.073729","2.272962"
"year=1974",".8636931","1.339934","2.203627"
"year=1975",".1751574","1.360379","1.535536"
"year=1976","-.1305958","1.380741","1.250145"
"year=1977","-.3973913","1.415721","1.01833"
"year=1978","-.4562091","1.423056",".9668467"
"year=1979","-.5330189","1.372556",".8395366"
"year=1980","-.6415847","1.211445",".5698607"
"year=1981","-.6480741","1.213152",".565078"
"year=1982","-.6932179","1.110118",".4169002"
"year=1983","-.8058313",".8646698",".0588385"
"year=1984","-.7594724",".7164499","-.0430225"
"year=1985","-.9726738",".4860675","-.4866063"
"year=1986","-.8875742",".2554104","-.6321638"
"year=1987","-.6835938",".0619876","-.6216062"
"year=1988","-.3871295","-.0437231","-.4308527"
"year=1989","-.1278372",".0404726","-.0873647"
"year=1990",".0713547",".0467505",".1181052"
"year=1991","-.0018616","-.0715693","-.073431"
"year=1992",".1413688","-.2011554","-.0597866"
"year=1993",".0525946","-.2045272","-.1519327"
"year=1994",".1008767","-.1852444","-.0843678"
"year=1995",".0443333","-.1194933","-.0751601"
"year=1996",".1637237","-.1302384",".0334853"
"year=1997",".2639707",".0012152",".2651859"
"year=1998",".2225522",".2160379",".43859"
"year=1999",".1761903",".4173847",".593575"
"year=2000",".239088",".542678",".781766"
"year=2001",".1763258",".3938061",".5701318"
"year=2002",".1898549",".257946",".4478009"
"year=2003",".1383452",".1427412",".2810864"
"year=2004",".1602859",".1922508",".3525367"
"year=2005",".3731176",".1428589",".5159765"
"year=2006",".4661539",".2212701",".6874239"
"year=2007",".5235787",".3155163",".839095"
"year=2008",".2709395",".585642",".8565815"
"year=2009",".0343367",".428714",".4630506"
"year=2010",".1258509",".5017419",".6275928"
"year=2011","-.0367732",".4629192",".4261459"
"year=2012","-.300567",".4122757",".1117087"
"year=2013","-.448688",".2116992","-.2369889"
"year=2014","-.5321792",".062543","-.4696362"
"year=2015","-.2316341","-.0574822","-.2891163"
"year=2016",".2156915",".0526492",".2683406"
"year=2017","0","0","0"
"Constant","5.42316","5.760704","11.18386"
"Observations","2542","2542","2542"
