"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA)",".1283667","-.177473","-.0491063"
"year=1968","1.400671",".373882","1.774553"
"year=1969","1.450962",".4308621","1.881824"
"year=1970","1.631489",".4618875","2.093377"
"year=1971","1.462967",".5946689","2.057636"
"year=1972","1.315876",".7474358","2.063312"
"year=1973","1.238286","1.110207","2.348494"
"year=1974",".900798","1.374592","2.27539"
"year=1975",".2227456","1.404828","1.627574"
"year=1976","-.0860983","1.422304","1.336206"
"year=1977","-.3546789","1.455616","1.100937"
"year=1978","-.4051448","1.470752","1.065608"
"year=1979","-.4867509","1.415772",".9290211"
"year=1980","-.5958895","1.254127",".6582373"
"year=1981","-.6061767","1.252286",".6461096"
"year=1982","-.6536455","1.147081",".4934351"
"year=1983","-.7666401",".9012763",".1346362"
"year=1984","-.7225459",".750941",".0283951"
"year=1985","-.9405537",".5160693","-.4244844"
"year=1986","-.8572806",".2837061","-.5735745"
"year=1987","-.6567126",".0870959","-.5696168"
"year=1988","-.3624313","-.0206538","-.3830851"
"year=1989","-.1003621",".0661357","-.0342264"
"year=1990",".0966106",".0703408",".1669514"
"year=1991",".0200676","-.0510864","-.0310189"
"year=1992",".1595236","-.1841979","-.0246743"
"year=1993",".0680774","-.1900655","-.1219881"
"year=1994",".1132704","-.1736681","-.0603978"
"year=1995",".0541294","-.1103432","-.0562139"
"year=1996",".1717438","-.1227473",".0489965"
"year=1997",".2714281",".0081807",".2796088"
"year=1998",".2292408",".2222853",".4515261"
"year=1999",".1819434",".4227584",".6047018"
"year=2000",".243728",".547012",".7907399"
"year=2001",".179786",".3970381",".5768241"
"year=2002",".1924573",".2603768",".4528341"
"year=2003",".1402734",".1445422",".2848156"
"year=2004",".1618527",".1937143",".355567"
"year=2005",".3740906",".1437678",".5178584"
"year=2006",".4669596",".2220226",".6889822"
"year=2007",".524314",".316203",".8405169"
"year=2008",".2715114",".5861761",".8576875"
"year=2009",".0352691",".4295849",".4648539"
"year=2010",".1273403",".503133",".6304733"
"year=2011","-.033665",".4658224",".4321574"
"year=2012","-.2959119",".4166238",".1207119"
"year=2013","-.4426266",".2173609","-.2252657"
"year=2014","-.525321",".0689489","-.4563721"
"year=2015","-.2237263","-.050096","-.2738223"
"year=2016",".2122376",".0494231",".2616607"
"year=2017","0","0","0"
"Constant","2.606879","3.130162","5.737041"
"Observations","2542","2542","2542"
