"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA)","-.1861564",".1674279","-.0187285"
"year=1968","1.299338",".2641412","1.563479"
"year=1975",".3517615",".8235187","1.17528"
"year=1982","-.5276459",".9860315",".4583855"
"year=1989",".0794451","-.1700187","-.0905736"
"year=1996",".2568551","-.3178715","-.0610164"
"year=2003",".1133513","-.1640472","-.0506959"
"year=2010",".1741664",".2150812",".3892476"
"year=2017","0","0","0"
"Constant","2.267201","3.510399","5.7776"
"Observations","359","359","359"
