"","est1","est2","est3"
"","b","b","b"
"Per capita output gap (rel. USA)","-.2478258",".3223965",".0745707"
"year=1968","1.168653",".5158094","1.684462"
"year=1969","1.319273",".588966","1.908239"
"year=1970","1.674097",".6382572","2.312354"
"year=1971","1.324291",".5323603","1.856651"
"year=1972","1.313232",".6754938","1.988726"
"year=1973","1.467187",".9226841","2.389871"
"year=1974","1.016507","1.116304","2.132811"
"year=1975",".2158837","1.060301","1.276185"
"year=1976",".0723227","1.299621","1.371944"
"year=1977","-.3255398","1.41063","1.08509"
"year=1978","-.4781054","1.496154","1.018048"
"year=1979","-.5368817","1.56556","1.028678"
"year=1980","-.6128286","1.339879",".7270507"
"year=1981","-.6585893","1.3985",".739911"
"year=1982","-.6315429","1.231464",".5999213"
"year=1983","-.8533725","1.015955",".1625821"
"year=1984","-.766337",".8951926",".1288556"
"year=1985","-.8490217",".5859608","-.2630609"
"year=1986","-.7575479",".3163033","-.4412446"
"year=1987","-.6581092",".0997608","-.5583484"
"year=1988","-.3531507",".0091655","-.3439852"
"year=1989","-.0154893",".1016693",".08618"
"year=1990",".1352379",".121974",".2572119"
"year=1991",".2217046","-.0375901",".1841144"
"year=1992",".2029869","-.0957772",".1072096"
"year=1993",".1033954","-.1052131","-.0018178"
"year=1994",".1726412","-.0649479",".1076932"
"year=1995",".0709818","-.0557845",".0151973"
"year=1996",".181706","-.0327293",".1489766"
"year=1997",".2146488",".0748238",".2894726"
"year=1998",".0938443",".2672872",".3611314"
"year=1999","-.0237294",".4540402",".4303108"
"year=2000",".1071361",".5521971",".6593331"
"year=2001","-.002492",".3744604",".3719684"
"year=2002",".0800318",".2369989",".3170307"
"year=2003",".026429",".1275591",".1539881"
"year=2004",".0528772",".1888245",".2417017"
"year=2005",".275032",".1418476",".4168795"
"year=2006",".3696591",".2311743",".6008334"
"year=2007",".434646",".3214339",".7560798"
"year=2008",".188451",".5845898",".7730408"
"year=2009","-.0398288",".4192105",".3793817"
"year=2010",".0600101",".4804097",".5404198"
"year=2011","-.0916419",".446709",".3550671"
"year=2012","-.3294527",".375484",".0460313"
"year=2013","-.4697121",".1696264","-.3000858"
"year=2014","-.5430508",".0194987","-.5235521"
"year=2015","-.2096904","-.126116","-.3358064"
"year=2016",".2452005","-.0205001",".2247003"
"year=2017","0","0","0"
"Constant","2.702698","3.540076","6.242773"
"Observations","2234","2234","2234"
